transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,merchant_category,description,post_date,currency_code
H000000107,A00000229,2023-11-02,DEP,11.75,WIRE,6011,DEP ONLINE REF461602,2023-11-02,USD
H000000108,A00000233,2023-11-02,DEP,14.36,ONLINE,0000,DEP WIRE REF885801,2023-11-02,USD
H000000109,A00000234,2023-11-02,DEP,28.41,BRANCH,0000,DEP ONLINE REF634971,2023-11-02,USD
H000000110,A00000239,2023-11-02,PMT,1574.1,ATM,6011,PMT MOBILE REF810409,2023-11-02,USD
H000000111,A00000239,2023-11-02,PMT,1713.96,POS,5541,PMT POS REF848606,2023-11-02,USD
H000000112,A00000241,2023-11-02,INT,165.53,BRANCH,5812,INT ATM REF947148,2023-11-02,USD
H000000113,A00000243,2023-11-02,DEP,75.65,ATM,6011,DEP ACH REF696141,2023-11-02,USD
H000000114,A00000243,2023-11-02,TRF,-10.22,MOBILE,4900,TRF MOBILE REF449738,2023-11-02,USD
H000000115,A00000246,2023-11-02,CHG,9.95,BRANCH,0000,CHG BRANCH REF880981,2023-11-02,USD
H000000116,A00000248,2023-11-02,PMT,1246.41,BRANCH,4900,PMT POS REF187137,2023-11-02,USD
H000000117,A00000252,2023-11-02,FEE,12,BRANCH,7011,FEE MOBILE REF425395,2023-11-02,USD
H000000118,A00000253,2023-11-02,WDR,27.03,BRANCH,5541,WDR MOBILE REF480605,2023-11-02,USD
H000000119,A00000253,2023-11-02,WDR,66.47,ACH,5541,WDR ATM REF141455,2023-11-02,USD
H000000120,A00000255,2023-11-02,ADJ,124.84,BRANCH,6011,ADJ POS REF116195,2023-11-02,USD
H000000121,A00000255,2023-11-02,REV,8.9,BRANCH,4900,REV ONLINE REF530668,2023-11-02,USD
H000000122,A00000255,2023-11-02,WDR,17.96,MOBILE,6011,WDR POS REF323268,2023-11-02,USD
H000000123,A00000261,2023-11-02,DEP,24.87,BRANCH,5541,DEP ATM REF987527,2023-11-02,USD
H000000124,A00000262,2023-11-02,DEP,62.12,ONLINE,5541,DEP ACH REF881100,2023-11-03,USD
H000000125,A00000262,2023-11-02,WDR,285.89,ATM,5411,WDR ACH REF173493,2023-11-03,USD
H000000126,A00000267,2023-11-02,CHG,25,ATM,7011,CHG BRANCH REF895207,2023-11-02,USD
H000000127,A00000275,2023-11-02,PMT,1784.92,WIRE,4900,PMT ACH REF908752,2023-11-02,USD
H000000128,A00000278,2023-11-02,DEP,24.06,WIRE,5912,DEP WIRE REF853043,2023-11-02,USD
H000000129,A00000279,2023-11-02,REF,1206.05,ATM,7011,REF WIRE REF392462,2023-11-02,USD
H000000130,A00000279,2023-11-02,CHG,12,BRANCH,5411,CHG BRANCH REF805717,2023-11-02,USD
H000000131,A00000286,2023-11-02,DEP,90.91,ACH,5411,DEP WIRE REF335910,2023-11-02,USD
H000000132,A00000293,2023-11-02,PMT,1194.75,POS,0000,PMT BRANCH REF408694,2023-11-03,USD
H000000133,A00000294,2023-11-02,PMT,1038.76,POS,5812,PMT ATM REF729029,2023-11-02,USD
H000000134,A00000294,2023-11-02,CHG,12,BRANCH,7011,CHG POS REF418916,2023-11-02,USD
H000000135,A00000296,2023-11-02,TRF,-43.79,ACH,5411,TRF WIRE REF196450,2023-11-02,USD
H000000136,A00000296,2023-11-02,FEE,35,ONLINE,7011,FEE ONLINE REF726492,2023-11-03,USD
H000000137,A00000296,2023-11-02,TRF,-62.55,ATM,5541,TRF WIRE REF506057,2023-11-03,USD
H000000138,A00000299,2023-11-02,TRF,-35.8,WIRE,5912,TRF MOBILE REF734232,2023-11-02,USD
H000000139,A00000299,2023-11-02,WDR,12.11,ONLINE,5812,WDR BRANCH REF429315,2023-11-02,USD
H000000140,A00000303,2023-11-02,TRF,-43.16,ONLINE,5411,TRF ONLINE REF249596,2023-11-03,USD
H000000141,A00000303,2023-11-02,WDR,396.01,MOBILE,5541,WDR BRANCH REF516945,2023-11-02,USD
H000000142,A00000303,2023-11-02,WDR,766.58,WIRE,7011,WDR ACH REF701204,2023-11-02,USD
H000000143,A00000305,2023-11-02,REF,2499.76,MOBILE,0000,REF WIRE REF659558,2023-11-02,USD
H000000144,A00000309,2023-11-02,CHG,35,BRANCH,7011,CHG BRANCH REF169403,2023-11-02,USD
H000000145,A00000309,2023-11-02,PMT,1254.09,ACH,0000,PMT WIRE REF759767,2023-11-02,USD
H000000146,A00000311,2023-11-02,INT,213.45,MOBILE,6011,INT ACH REF707091,2023-11-03,USD
H000000147,A00000320,2023-11-02,REV,44.14,ACH,5411,REV MOBILE REF754322,2023-11-02,USD
H000000148,A00000320,2023-11-02,REV,232.24,POS,6011,REV ACH REF241480,2023-11-03,USD
H000000149,A00000321,2023-11-02,WDR,11.85,WIRE,5411,WDR ACH REF360864,2023-11-02,USD
H000000150,A00000326,2023-11-02,CHG,9.95,BRANCH,5912,CHG MOBILE REF113436,2023-11-02,USD
H000000151,A00000330,2023-11-02,CHG,35,BRANCH,5912,CHG BRANCH REF847042,2023-11-03,USD
H000000152,A00000338,2023-11-02,WDR,79.84,MOBILE,5812,WDR ONLINE REF148953,2023-11-02,USD
H000000153,A00000339,2023-11-02,CHG,9.95,MOBILE,4900,CHG ONLINE REF621796,2023-11-03,USD
H000000154,A00000339,2023-11-02,FEE,25,POS,6011,FEE WIRE REF818642,2023-11-03,USD
H000000155,A00000339,2023-11-02,INT,29.91,WIRE,5411,INT ONLINE REF665302,2023-11-02,USD
H000000156,A00000344,2023-11-02,CHG,3,MOBILE,0000,CHG WIRE REF763521,2023-11-02,USD
H000000157,A00000344,2023-11-02,CHG,3,WIRE,7011,CHG ACH REF175371,2023-11-02,USD
H000000158,A00000348,2023-11-02,CHG,35,BRANCH,5411,CHG BRANCH REF118889,2023-11-02,USD
H000000159,A00000354,2023-11-02,DEP,113.29,POS,5411,DEP POS REF804227,2023-11-02,USD
H000000160,A00000354,2023-11-02,FEE,12,WIRE,4900,FEE ATM REF169713,2023-11-03,USD
H000000161,A00000356,2023-11-02,TRF,30.18,POS,6011,TRF BRANCH REF930714,2023-11-02,USD
H000000162,A00000357,2023-11-02,TRF,130.95,MOBILE,5541,TRF WIRE REF805432,2023-11-02,USD
H000000163,A00000358,2023-11-02,CHG,12,BRANCH,4900,CHG ATM REF161542,2023-11-02,USD
H000000164,A00000359,2023-11-02,CHG,3,ACH,5411,CHG MOBILE REF761356,2023-11-02,USD
H000000165,A00000362,2023-11-02,CHG,12,ONLINE,5541,CHG ATM REF532372,2023-11-02,USD
H000000166,A00000365,2023-11-02,WDR,68.38,POS,5912,WDR POS REF461132,2023-11-02,USD
H000000167,A00000365,2023-11-02,WDR,37.7,MOBILE,7011,WDR WIRE REF452166,2023-11-02,USD
H000000168,A00000372,2023-11-02,FEE,3,ACH,5812,FEE ATM REF186364,2023-11-02,USD
H000000169,A00000381,2023-11-02,REF,30.79,POS,5812,REF BRANCH REF500465,2023-11-02,USD
H000000170,A00000381,2023-11-02,INT,31.15,ACH,5812,INT ONLINE REF292084,2023-11-02,USD
H000000171,A00000389,2023-11-02,TRF,-40.58,BRANCH,6011,TRF ATM REF406883,2023-11-03,USD
H000000172,A00000391,2023-11-02,PMT,484.92,ATM,0000,PMT MOBILE REF752835,2023-11-02,USD
H000000173,A00000393,2023-11-02,PMT,731.84,BRANCH,4900,PMT POS REF310900,2023-11-03,USD
H000000174,A00000393,2023-11-02,ADJ,-1580.07,ONLINE,7011,ADJ ONLINE REF592839,2023-11-02,USD
H000000175,A00000397,2023-11-02,PMT,668.6,POS,5812,PMT ONLINE REF403682,2023-11-03,USD
H000000176,A00000400,2023-11-02,CHG,35,ONLINE,5812,CHG MOBILE REF801898,2023-11-02,USD
H000000177,A00000405,2023-11-02,REF,1041.12,ONLINE,7011,REF ONLINE REF978193,2023-11-03,USD
H000000178,A00000406,2023-11-02,CHG,3,ACH,5912,CHG POS REF230181,2023-11-02,USD
H000000179,A00000407,2023-11-02,PMT,1450.99,ATM,5541,PMT ONLINE REF891130,2023-11-02,USD
H000000180,A00000407,2023-11-02,PMT,1647.23,ATM,6011,PMT WIRE REF113092,2023-11-02,USD
H000000181,A00000410,2023-11-02,INT,142.33,WIRE,5541,INT ONLINE REF840468,2023-11-02,USD
H000000182,A00000413,2023-11-02,WDR,1703.28,BRANCH,5912,WDR ACH REF314949,2023-11-02,USD
H000000183,A00000413,2023-11-02,DEP,83.52,ACH,5912,DEP ONLINE REF553278,2023-11-02,USD
H000000184,A00000414,2023-11-02,WDR,217.74,POS,5912,WDR ONLINE REF286346,2023-11-03,USD
H000000185,A00000414,2023-11-02,WDR,30.81,ONLINE,0000,WDR BRANCH REF253393,2023-11-02,USD
H000000186,A00000418,2023-11-02,TRF,-16.69,BRANCH,5411,TRF WIRE REF878404,2023-11-03,USD
H000000187,A00000419,2023-11-02,DEP,126.71,ATM,5912,DEP POS REF177615,2023-11-02,USD
H000000188,A00000419,2023-11-02,DEP,58.72,ATM,7011,DEP WIRE REF206390,2023-11-02,USD
H000000189,A00000422,2023-11-02,WDR,51.27,POS,5411,WDR POS REF248476,2023-11-02,USD
H000000190,A00000422,2023-11-02,TRF,-24.02,POS,5411,TRF ACH REF195686,2023-11-02,USD
H000000191,A00000422,2023-11-02,DEP,164.98,MOBILE,7011,DEP WIRE REF923430,2023-11-02,USD
H000000192,A00000431,2023-11-02,CHG,12,ACH,5812,CHG ATM REF698890,2023-11-02,USD
H000000193,A00000433,2023-11-02,WDR,82.25,BRANCH,0000,WDR BRANCH REF134062,2023-11-02,USD
H000000194,A00000436,2023-11-02,DEP,94.97,BRANCH,5912,DEP ATM REF417794,2023-11-02,USD
H000000195,A00000437,2023-11-02,CHG,35,MOBILE,0000,CHG POS REF179510,2023-11-02,USD
H000000196,A00000437,2023-11-02,REF,1604.14,BRANCH,4900,REF ATM REF338784,2023-11-02,USD
H000000197,A00000437,2023-11-02,PMT,1279.88,ONLINE,5812,PMT ACH REF604363,2023-11-03,USD
H000000198,A00000439,2023-11-02,FEE,25,POS,6011,FEE MOBILE REF774881,2023-11-02,USD
H000000199,A00000442,2023-11-02,INT,176.78,ATM,5812,INT MOBILE REF811042,2023-11-02,USD
H000000200,A00000443,2023-11-02,CHG,12,ATM,4900,CHG ACH REF844804,2023-11-02,USD
H000000201,A00000444,2023-11-02,WDR,532.08,ONLINE,7011,WDR WIRE REF489937,2023-11-02,USD
H000000202,A00000449,2023-11-02,INT,239.26,MOBILE,5812,INT MOBILE REF641544,2023-11-02,USD
H000000203,A00000450,2023-11-02,PMT,1846.14,ATM,5411,PMT POS REF801355,2023-11-02,USD
H000000204,A00000451,2023-11-02,TRF,-31.95,ACH,5812,TRF POS REF669090,2023-11-02,USD
H000000205,A00000451,2023-11-02,TRF,134.39,WIRE,5411,TRF WIRE REF597328,2023-11-02,USD
H000000206,A00000454,2023-11-02,TRF,-7.41,MOBILE,5812,TRF BRANCH REF538279,2023-11-02,USD
H000000207,A00000454,2023-11-02,TRF,-91.48,BRANCH,5812,TRF BRANCH REF211873,2023-11-02,USD
H000000208,A00000454,2023-11-02,DEP,257.16,BRANCH,7011,DEP BRANCH REF217859,2023-11-02,USD
H000000209,A00000464,2023-11-02,CHG,35,ONLINE,7011,CHG WIRE REF186118,2023-11-02,USD
H000000210,A00000464,2023-11-02,CHG,9.95,POS,7011,CHG ONLINE REF374809,2023-11-03,USD
H000000211,A00000464,2023-11-02,PMT,1470.64,BRANCH,5812,PMT BRANCH REF174407,2023-11-02,USD
H000000212,A00000468,2023-11-02,WDR,16.42,WIRE,6011,WDR ACH REF754938,2023-11-03,USD
H000000213,A00000471,2023-11-02,WDR,268.73,BRANCH,4900,WDR ACH REF610332,2023-11-02,USD
H000000214,A00000474,2023-11-02,PMT,825.25,WIRE,0000,PMT ATM REF852400,2023-11-02,USD
H000000215,A00000476,2023-11-02,CHG,35,ONLINE,6011,CHG ATM REF315548,2023-11-02,USD
H000000216,A00000476,2023-11-02,PMT,1896.15,ONLINE,4900,PMT WIRE REF377443,2023-11-02,USD
H000000217,A00000477,2023-11-02,FEE,12,BRANCH,0000,FEE ATM REF616199,2023-11-02,USD
H000000218,A00000478,2023-11-02,INT,22.56,WIRE,5812,INT ATM REF672154,2023-11-02,USD
H000000219,A00000484,2023-11-02,WDR,227.77,ACH,5541,WDR BRANCH REF713161,2023-11-02,USD
H000000220,A00000002,2023-11-03,TRF,-135.4,WIRE,6011,TRF ONLINE REF704697,2023-11-03,USD
H000000221,A00000004,2023-11-03,PMT,1888.27,MOBILE,5541,PMT WIRE REF727318,2023-11-04,USD
H000000222,A00000005,2023-11-03,INT,231.53,MOBILE,6011,INT BRANCH REF303317,2023-11-03,USD
H000000223,A00000005,2023-11-03,PMT,499.24,ACH,6011,PMT WIRE REF251915,2023-11-04,USD
H000000224,A00000011,2023-11-03,PMT,351.02,BRANCH,5812,PMT ONLINE REF304764,2023-11-04,USD
H000000225,A00000011,2023-11-03,CHG,9.95,ONLINE,5411,CHG ONLINE REF676610,2023-11-03,USD
H000000226,A00000013,2023-11-03,WDR,11.19,POS,5812,WDR POS REF692379,2023-11-03,USD
H000000227,A00000018,2023-11-03,DEP,142.67,ATM,4900,DEP ACH REF161208,2023-11-03,USD
H000000228,A00000019,2023-11-03,REF,770.36,POS,0000,REF WIRE REF764348,2023-11-03,USD
H000000229,A00000019,2023-11-03,INT,143.94,ACH,5812,INT WIRE REF139711,2023-11-03,USD
H000000230,A00000019,2023-11-03,CHG,25,BRANCH,7011,CHG ONLINE REF465539,2023-11-03,USD
H000000231,A00000025,2023-11-03,DEP,41.39,BRANCH,5912,DEP POS REF610067,2023-11-03,USD
H000000232,A00000026,2023-11-03,INT,42.24,BRANCH,7011,INT ONLINE REF293571,2023-11-03,USD
H000000233,A00000026,2023-11-03,CHG,9.95,BRANCH,0000,CHG MOBILE REF489442,2023-11-03,USD
H000000234,A00000031,2023-11-03,WDR,275.57,POS,0000,WDR WIRE REF979170,2023-11-03,USD
H000000235,A00000031,2023-11-03,TRF,-476.12,WIRE,5411,TRF ATM REF660933,2023-11-03,USD
H000000236,A00000031,2023-11-03,WDR,35.45,ATM,5812,WDR BRANCH REF282347,2023-11-03,USD
H000000237,A00000035,2023-11-03,CHG,9.95,MOBILE,4900,CHG ATM REF411475,2023-11-03,USD
H000000238,A00000036,2023-11-03,INT,224.2,ONLINE,7011,INT ACH REF520393,2023-11-03,USD
H000000239,A00000036,2023-11-03,CHG,25,ACH,5912,CHG ATM REF433659,2023-11-03,USD
H000000240,A00000036,2023-11-03,PMT,873.44,MOBILE,5411,PMT ACH REF354429,2023-11-03,USD
H000000241,A00000044,2023-11-03,DEP,95.82,WIRE,6011,DEP MOBILE REF571870,2023-11-04,USD
H000000242,A00000044,2023-11-03,WDR,235.16,MOBILE,5812,WDR WIRE REF668884,2023-11-04,USD
H000000243,A00000046,2023-11-03,WDR,96.85,POS,6011,WDR ONLINE REF730962,2023-11-03,USD
H000000244,A00000048,2023-11-03,ADJ,21.34,ATM,5812,ADJ POS REF778893,2023-11-03,USD
H000000245,A00000048,2023-11-03,DEP,7.29,WIRE,7011,DEP MOBILE REF682176,2023-11-03,USD
H000000246,A00000049,2023-11-03,CHG,3,ATM,0000,CHG ACH REF434677,2023-11-03,USD
H000000247,A00000057,2023-11-03,CHG,12,MOBILE,5541,CHG POS REF359684,2023-11-03,USD
H000000248,A00000057,2023-11-03,CHG,9.95,ONLINE,7011,CHG ONLINE REF113492,2023-11-03,USD
H000000249,A00000070,2023-11-03,PMT,609.86,ACH,0000,PMT ONLINE REF309607,2023-11-03,USD
H000000250,A00000070,2023-11-03,CHG,12,ATM,5912,CHG WIRE REF721178,2023-11-03,USD
H000000251,A00000080,2023-11-03,TRF,23.47,BRANCH,5411,TRF POS REF105190,2023-11-03,USD
H000000252,A00000087,2023-11-03,DEP,20.54,ONLINE,7011,DEP ACH REF872359,2023-11-04,USD
H000000253,A00000094,2023-11-03,DEP,56.28,WIRE,5541,DEP MOBILE REF974491,2023-11-03,USD
H000000254,A00000094,2023-11-03,DEP,83.85,BRANCH,4900,DEP WIRE REF540227,2023-11-03,USD
H000000255,A00000094,2023-11-03,ADJ,-310.32,POS,7011,ADJ ACH REF211044,2023-11-03,USD
H000000256,A00000097,2023-11-03,ADJ,-579.74,ACH,5541,ADJ ACH REF799475,2023-11-03,USD
