account_id,transaction_date,transaction_id,running_balance
A00000033,2024-01-31,T000000045,40490.450000000004
A00000033,2024-01-31,T000000046,40478.450000000004
A00000034,2024-01-31,T000000047,152012.15
A00000034,2024-01-31,T000000048,151871.71
A00000034,2024-01-31,T000000049,151878.86
A00000035,2024-01-31,T000000050,31251.359999999997
A00000035,2024-01-31,T000000051,30838.449999999997
A00000035,2024-01-31,T000000052,30469.639999999996
A00000036,2024-01-31,T000000053,312105.29
A00000037,2024-01-31,T000000054,3823.21
A00000039,2024-01-31,T000000055,2446.2700000000004
A00000039,2024-01-31,T000000056,2490.0200000000004
A00000039,2024-01-31,T000000057,2478.0200000000004
A00000040,2024-01-31,T000000058,13043.96
A00000040,2024-01-31,T000000059,13018.72
A00000040,2024-01-31,T000000060,13158.109999999999
A00000042,2024-01-31,T000000061,3967.9500000000003
A00000042,2024-01-31,T000000062,3887.4100000000003
A00000043,2024-01-31,T000000063,1211.65
A00000044,2024-01-31,T000000064,210170.05
A00000044,2024-01-31,T000000065,212348.47
A00000046,2024-01-31,T000000066,5490.9800000000005
A00000047,2024-01-31,T000000067,132108.77
A00000048,2024-01-31,T000000068,1263.1
A00000048,2024-01-31,T000000069,1250.82
A00000049,2024-01-31,T000000070,540820.18
A00000052,2024-01-31,T000000071,31848.809999999998
A00000052,2024-01-31,T000000072,31836.809999999998
A00000052,2024-01-31,T000000073,31306.519999999997
A00000053,2024-01-31,T000000074,492345.56
A00000053,2024-01-31,T000000075,492342.56
A00000054,2024-01-31,T000000076,4026.05
A00000054,2024-01-31,T000000077,3904.9
A00000055,2024-01-31,T000000078,4288.64
A00000055,2024-01-31,T000000079,4276.64
A00000057,2024-01-31,T000000080,4786.62
A00000058,2024-01-31,T000000081,4678
A00000058,2024-01-31,T000000082,4675
A00000059,2024-01-31,T000000083,40969.780000000006
A00000060,2024-01-31,T000000084,2213.36
A00000060,2024-01-31,T000000085,2306.36
A00000061,2024-01-31,T000000086,1901.06
A00000063,2024-01-31,T000000087,501963.6
A00000063,2024-01-31,T000000088,501655.81999999995
A00000063,2024-01-31,T000000089,501818.72
A00000064,2024-01-31,T000000090,29126.21
A00000064,2024-01-31,T000000091,29129.44
A00000064,2024-01-31,T000000092,29265.539999999997
A00000064,2024-01-31,T000000093,29217.609999999997
A00000064,2024-01-31,T000000094,29253.589999999997
A00000064,2024-01-31,T000000095,29361.42
A00000065,2024-01-31,T000000096,2769.44
A00000066,2024-01-31,T000000097,795208.62
A00000067,2024-01-31,T000000098,38748.18
A00000067,2024-01-31,T000000099,36434.96
A00000068,2024-01-31,T000000100,14130.630000000001
A00000069,2024-01-31,T000000101,5633.3
A00000070,2024-01-31,T000000102,6278.33
A00000071,2024-01-31,T000000103,30208.02
A00000071,2024-01-31,T000000104,31971.29
A00000071,2024-01-31,T000000105,31959.29
A00000071,2024-01-31,T000000106,31947.29
A00000071,2024-01-31,T000000107,30255.08
A00000071,2024-01-31,T000000108,30326.83
A00000075,2024-01-31,T000000109,42786.26
A00000076,2024-01-31,T000000110,44187.93
A00000076,2024-01-31,T000000111,46843.88
A00000076,2024-01-31,T000000112,46808.88
A00000076,2024-01-31,T000000113,45002.28
A00000076,2024-01-31,T000000114,44999.28
A00000076,2024-01-31,T000000115,44987.28
A00000077,2024-01-31,T000000116,79730.42
A00000080,2024-01-31,T000000117,3295.43
A00000081,2024-01-31,T000000118,2924.51
A00000082,2024-01-31,T000000119,1234.26
A00000084,2024-01-31,T000000120,31070.65
A00000084,2024-01-31,T000000121,31035.65
A00000084,2024-01-31,T000000122,31025.7
A00000085,2024-01-31,T000000123,135569.14
A00000085,2024-01-31,T000000124,135544.14
A00000087,2024-01-31,T000000125,460484.33
A00000089,2024-01-31,T000000126,6196.63
A00000089,2024-01-31,T000000127,6161.63
A00000089,2024-01-31,T000000128,6126.63
A00000089,2024-01-31,T000000129,6101.63
A00000089,2024-01-31,T000000130,6098.63
A00000089,2024-01-31,T000000131,6095.63
A00000092,2024-01-31,T000000132,27987.329999999998
A00000092,2024-01-31,T000000133,27977.379999999997
A00000092,2024-01-31,T000000134,27967.429999999997
A00000093,2024-01-31,T000000135,-249.25
A00000093,2024-01-31,T000000136,-87.97999999999999
A00000095,2024-01-31,T000000137,-4605.049999999999
A00000099,2024-01-31,T000000138,800.24
A00000101,2024-01-31,T000000139,10743.13
A00000101,2024-01-31,T000000140,10937.97
A00000101,2024-01-31,T000000141,11014.65
A00000103,2024-01-31,T000000142,7354.4800000000005
A00000103,2024-01-31,T000000143,7319.4800000000005
A00000104,2024-01-31,T000000144,1839.7
A00000104,2024-01-31,T000000145,946.2
A00000107,2024-01-31,T000000146,15556.03
A00000107,2024-01-31,T000000147,15473.900000000001
A00000110,2024-01-31,T000000148,5013.19
A00000110,2024-01-31,T000000149,5001.19
A00000111,2024-01-31,T000000150,6815.43
A00000112,2024-01-31,T000000151,-171.19999999999993
A00000113,2024-01-31,T000000152,10650.64
A00000114,2024-01-31,T000000153,3465.51
A00000114,2024-01-31,T000000154,3515.4900000000002
A00000114,2024-01-31,T000000155,3420.4
A00000115,2024-01-31,T000000156,3432.35
A00000115,2024-01-31,T000000157,3293.13
A00000115,2024-01-31,T000000158,3182.1
A00000117,2024-01-31,T000000159,37000.6
A00000118,2024-01-31,T000000160,241732.35
A00000118,2024-01-31,T000000161,241590.6
A00000118,2024-01-31,T000000162,241610.32
A00000118,2024-01-31,T000000163,241572.67
A00000118,2024-01-31,T000000164,241542.81000000003
A00000118,2024-01-31,T000000165,241623.32000000004
A00000119,2024-01-31,T000000166,148044.66
A00000119,2024-01-31,T000000167,148146.7
A00000119,2024-01-31,T000000168,148019.24000000002
A00000120,2024-01-31,T000000169,1341.62
A00000121,2024-01-31,T000000170,3025.79
A00000123,2024-01-31,T000000171,4149.62
A00000125,2024-01-31,T000000172,60086.61
A00000125,2024-01-31,T000000173,59901.74
A00000128,2024-01-31,T000000174,7606.36
A00000129,2024-01-31,T000000175,390888.06000000006
A00000130,2024-01-31,T000000176,492238.78
A00000130,2024-01-31,T000000177,492213.78
A00000132,2024-01-31,T000000178,6726.3099999999995
A00000133,2024-01-31,T000000179,727.5300000000001
A00000133,2024-01-31,T000000180,726.5000000000001
A00000133,2024-01-31,T000000181,589.0200000000001
A00000133,2024-01-31,T000000182,102.0700000000001
A00000133,2024-01-31,T000000183,-551
A00000133,2024-01-31,T000000184,-364.72
A00000134,2024-01-31,T000000185,6563.48
A00000134,2024-01-31,T000000186,6501.19
A00000136,2024-01-31,T000000187,1831.42
A00000136,2024-01-31,T000000188,2105.27
A00000136,2024-01-31,T000000189,2131.72
A00000137,2024-01-31,T000000190,35936.58
A00000138,2024-01-31,T000000191,40212.25
A00000139,2024-01-31,T000000192,723501.9400000001
A00000139,2024-01-31,T000000193,723514.02
A00000141,2024-01-31,T000000194,-309.53
A00000142,2024-01-31,T000000195,1527.73
A00000143,2024-01-31,T000000196,14619.99
A00000143,2024-01-31,T000000197,14810.05
A00000145,2024-01-31,T000000198,2498.92
A00000146,2024-01-31,T000000199,2628.73
A00000148,2024-01-31,T000000200,-894.5600000000001
A00000148,2024-01-31,T000000201,-901.5200000000001
A00000148,2024-01-31,T000000202,-865.6300000000001
A00000152,2024-01-31,T000000203,2199.79
A00000152,2024-01-31,T000000204,2402.11
A00000152,2024-01-31,T000000205,2536.27
A00000154,2024-01-31,T000000206,-580.48
A00000154,2024-01-31,T000000207,-809.6
A00000154,2024-01-31,T000000208,-808.5600000000001
A00000156,2024-01-31,T000000209,55872.52
A00000157,2024-01-31,T000000210,27.930000000000003
A00000157,2024-01-31,T000000211,1577.68
A00000157,2024-01-31,T000000212,1565.68
A00000159,2024-01-31,T000000213,-1783.92
A00000159,2024-01-31,T000000214,-1407.6100000000001
A00000159,2024-01-31,T000000215,-1490.71
A00000160,2024-01-31,T000000216,15366.7
A00000163,2024-01-31,T000000217,8073.19
A00000170,2024-01-31,T000000218,617.2
A00000173,2024-01-31,T000000219,387880.94
A00000174,2024-01-31,T000000220,752403.35
A00000174,2024-01-31,T000000221,752175.22
A00000174,2024-01-31,T000000222,752140.22
A00000175,2024-01-31,T000000223,30518.620000000003
A00000175,2024-01-31,T000000224,30506.620000000003
A00000176,2024-01-31,T000000225,468.18
A00000177,2024-01-31,T000000226,29677.1
A00000177,2024-01-31,T000000227,27685.35
A00000178,2024-01-31,T000000228,13550.48
A00000178,2024-01-31,T000000229,11209.43
A00000178,2024-01-31,T000000230,8112.1900000000005
A00000179,2024-01-31,T000000231,212940.58
A00000179,2024-01-31,T000000232,212185.34
A00000181,2024-01-31,T000000233,474107.93
A00000181,2024-01-31,T000000234,472382.33999999997
A00000182,2024-01-31,T000000235,105618.40999999999
A00000182,2024-01-31,T000000236,105709.37
A00000182,2024-01-31,T000000237,105685.72
A00000183,2024-01-31,T000000238,136.05000000000007
A00000183,2024-01-31,T000000239,27.350000000000065
A00000183,2024-01-31,T000000240,15.870000000000065
A00000185,2024-01-31,T000000241,5514.86
A00000185,2024-01-31,T000000242,5405.599999999999
A00000185,2024-01-31,T000000243,5369.219999999999
A00000187,2024-01-31,T000000244,551960.37
A00000187,2024-01-31,T000000245,551948.37
A00000188,2024-01-31,T000000246,-980192.19
A00000189,2024-01-31,T000000247,8891.29
A00000190,2024-01-31,T000000248,468009.52999999997
A00000190,2024-01-31,T000000249,465975.88999999996
A00000190,2024-01-31,T000000250,465963.88999999996
A00000191,2024-01-31,T000000251,953.91
A00000191,2024-01-31,T000000252,967.5899999999999
A00000193,2024-01-31,T000000253,1221.98
A00000196,2024-01-31,T000000254,25606.91
A00000197,2024-01-31,T000000255,158065.58000000002
A00000198,2024-01-31,T000000256,40441.54
A00000199,2024-01-31,T000000257,328857.25
A00000204,2024-01-31,T000000258,52165.43
A00000204,2024-01-31,T000000259,51135.81
A00000205,2024-01-31,T000000260,30052.02
A00000209,2024-01-31,T000000261,24557.45
A00000210,2024-01-31,T000000262,1791.1699999999996
A00000210,2024-01-31,T000000263,1959.2199999999996
A00000210,2024-01-31,T000000264,2870.2999999999997
A00000210,2024-01-31,T000000265,2873.9599999999996
A00000210,2024-01-31,T000000266,1931.4199999999996
A00000210,2024-01-31,T000000267,1919.4199999999996
A00000211,2024-01-31,T000000268,-1169.3
A00000211,2024-01-31,T000000269,-1678.81
A00000211,2024-01-31,T000000270,-2106.19
A00000213,2024-01-31,T000000271,2703.93
A00000214,2024-01-31,T000000272,5508.35
A00000216,2024-01-31,T000000273,223644.00999999998
A00000217,2024-01-31,T000000274,20754.64
A00000219,2024-01-31,T000000275,138745.84
A00000220,2024-01-31,T000000276,991.22
A00000220,2024-01-31,T000000277,981.27
A00000220,2024-01-31,T000000278,612.39
A00000222,2024-01-31,T000000279,28089.93
A00000222,2024-01-31,T000000280,25955
A00000223,2024-01-31,T000000281,33805.759999999995
A00000223,2024-01-31,T000000282,33855.159999999996
A00000223,2024-01-31,T000000283,33503.329999999994
A00000223,2024-01-31,T000000284,33701.049999999996
A00000223,2024-01-31,T000000285,33737.119999999995
A00000223,2024-01-31,T000000286,33765.24
A00000224,2024-01-31,T000000287,32949.08
A00000224,2024-01-31,T000000288,32937.08
A00000224,2024-01-31,T000000289,32925.08
A00000228,2024-01-31,T000000290,2167.41
A00000228,2024-01-31,T000000291,2189.97
A00000230,2024-01-31,T000000292,159552.36
A00000231,2024-01-31,T000000293,28305.07
A00000233,2024-01-31,T000000294,726.48
A00000235,2024-01-31,T000000295,4879.86
A00000235,2024-01-31,T000000296,4830.65
A00000237,2024-01-31,T000000297,3753.17
A00000237,2024-01-31,T000000298,3279.75
A00000237,2024-01-31,T000000299,3265.63
A00000237,2024-01-31,T000000300,3274.27
A00000237,2024-01-31,T000000301,2982.56
A00000237,2024-01-31,T000000302,2926.73
A00000239,2024-01-31,T000000303,299196.68
A00000239,2024-01-31,T000000304,296422.26
A00000239,2024-01-31,T000000305,296397.26
A00000241,2024-01-31,T000000306,118389.32
A00000241,2024-01-31,T000000307,118325.49
A00000241,2024-01-31,T000000308,118517.72
A00000242,2024-01-31,T000000309,5078.740000000001
A00000242,2024-01-31,T000000310,5075.740000000001
A00000244,2024-01-31,T000000311,37724.53
A00000244,2024-01-31,T000000312,37712.53
A00000244,2024-01-31,T000000313,37054.29
A00000244,2024-01-31,T000000314,38573.17
A00000244,2024-01-31,T000000315,38570.17
A00000244,2024-01-31,T000000316,-69349.32
A00000246,2024-01-31,T000000317,54870.67
A00000246,2024-01-31,T000000318,57049.46
A00000246,2024-01-31,T000000319,55273.9
A00000247,2024-01-31,T000000320,1109.5900000000001
A00000248,2024-01-31,T000000321,443.26
A00000248,2024-01-31,T000000322,431.26
A00000249,2024-01-31,T000000323,-801.24
A00000253,2024-01-31,T000000324,32921.43
A00000254,2024-01-31,T000000325,727441.58
A00000255,2024-01-31,T000000326,9689.8
A00000255,2024-01-31,T000000327,9682.73
A00000255,2024-01-31,T000000328,9098.75
A00000256,2024-01-31,T000000329,781.99
A00000257,2024-01-31,T000000330,14204.519999999999
A00000257,2024-01-31,T000000331,14373.669999999998
A00000257,2024-01-31,T000000332,14370.669999999998
A00000258,2024-01-31,T000000333,5113.25
A00000259,2024-01-31,T000000334,993.41
A00000259,2024-01-31,T000000335,983.4599999999999
A00000259,2024-01-31,T000000336,980.4599999999999
A00000261,2024-01-31,T000000337,206195.58
A00000261,2024-01-31,T000000338,206704.94999999998
A00000261,2024-01-31,T000000339,206624.69999999998
A00000262,2024-01-31,T000000340,584.73
A00000262,2024-01-31,T000000341,439.77
A00000264,2024-01-31,T000000342,-1399.8600000000001
A00000265,2024-01-31,T000000343,663909.14
A00000266,2024-01-31,T000000344,-795.3800000000001
A00000266,2024-01-31,T000000345,-1059.7
A00000266,2024-01-31,T000000346,-1861.5300000000002
A00000267,2024-01-31,T000000347,587496.4
A00000267,2024-01-31,T000000348,587690.41
A00000267,2024-01-31,T000000349,587678.41
A00000268,2024-01-31,T000000350,2074.9
A00000271,2024-01-31,T000000351,1299.6699999999998
A00000272,2024-01-31,T000000352,434886.35
A00000272,2024-01-31,T000000353,434541.98
A00000272,2024-01-31,T000000354,434529.98
A00000274,2024-01-31,T000000355,1233.27
A00000277,2024-01-31,T000000356,33117.32
A00000278,2024-01-31,T000000357,20612.09
A00000279,2024-01-31,T000000358,3033.49
A00000279,2024-01-31,T000000359,2254.62
A00000279,2024-01-31,T000000360,2242.62
A00000280,2024-01-31,T000000361,5604.46
A00000281,2024-01-31,T000000362,161941.71000000002
A00000282,2024-01-31,T000000363,46238.46
A00000283,2024-01-31,T000000364,5227.89
A00000283,2024-01-31,T000000365,5212.860000000001
A00000283,2024-01-31,T000000366,5255.530000000001
A00000283,2024-01-31,T000000367,5475.300000000001
A00000283,2024-01-31,T000000368,4584.530000000001
A00000283,2024-01-31,T000000369,4597.460000000001
A00000286,2024-01-31,T000000370,5919.67
A00000289,2024-01-31,T000000371,3098.19
A00000289,2024-01-31,T000000372,3132.37
A00000289,2024-01-31,T000000373,3190.6
A00000291,2024-01-31,T000000374,820070.65
A00000291,2024-01-31,T000000375,820076.4400000001
A00000292,2024-01-31,T000000376,9373.05
A00000293,2024-01-31,T000000377,41499.26
A00000293,2024-01-31,T000000378,41496.26
A00000295,2024-01-31,T000000379,2493.45
A00000296,2024-01-31,T000000380,742
A00000297,2024-01-31,T000000381,2239.3700000000003
A00000299,2024-01-31,T000000382,9702.68
A00000299,2024-01-31,T000000383,9409.4
A00000300,2024-01-31,T000000384,9587.89
A00000300,2024-01-31,T000000385,8955.81
A00000301,2024-01-31,T000000386,1098.34
A00000301,2024-01-31,T000000387,-522.52
A00000301,2024-01-31,T000000388,-525.52
A00000302,2024-01-31,T000000389,8517.4
A00000302,2024-01-31,T000000390,8196.06
A00000303,2024-01-31,T000000391,4746.870000000001
A00000303,2024-01-31,T000000392,4956.120000000001
A00000304,2024-01-31,T000000393,4862.86
A00000304,2024-01-31,T000000394,4827.86
A00000304,2024-01-31,T000000395,3829.8099999999995
A00000304,2024-01-31,T000000396,3817.8099999999995
A00000304,2024-01-31,T000000397,3805.8099999999995
A00000304,2024-01-31,T000000398,3770.8099999999995
A00000306,2024-01-31,T000000399,817753.09
A00000308,2024-01-31,T000000400,23765.77
A00000308,2024-01-31,T000000401,23374.510000000002
A00000308,2024-01-31,T000000402,23429.480000000003
A00000309,2024-01-31,T000000403,9742.42
A00000310,2024-01-31,T000000404,651528.23
A00000311,2024-01-31,T000000405,2460.33
A00000311,2024-01-31,T000000406,2440.5299999999997
A00000312,2024-01-31,T000000407,35747.590000000004
A00000313,2024-01-31,T000000408,6648.47
A00000314,2024-01-31,T000000409,40772.14
A00000314,2024-01-31,T000000410,40986.33
A00000315,2024-01-31,T000000411,174541.14
A00000315,2024-01-31,T000000412,174506.14
A00000318,2024-01-31,T000000413,22396.260000000002
A00000319,2024-01-31,T000000414,106695.48
A00000319,2024-01-31,T000000415,106738.59
A00000320,2024-01-31,T000000416,7016.860000000001
A00000320,2024-01-31,T000000417,6766.84
A00000320,2024-01-31,T000000418,8657.720000000001
A00000325,2024-01-31,T000000419,695768.64
A00000326,2024-01-31,T000000420,254456.49
A00000327,2024-01-31,T000000421,1689.3899999999999
A00000327,2024-01-31,T000000422,1603.7499999999998
A00000328,2024-01-31,T000000423,18757.86
A00000328,2024-01-31,T000000424,18486.98
A00000328,2024-01-31,T000000425,18436.84
A00000330,2024-01-31,T000000426,1041.36
A00000330,2024-01-31,T000000427,1029.36
A00000331,2024-01-31,T000000428,55268.4
A00000332,2024-01-31,T000000429,37601.97
A00000333,2024-01-31,T000000430,5545.24
A00000333,2024-01-31,T000000431,5510.24
A00000336,2024-01-31,T000000432,38558.219999999994
A00000337,2024-01-31,T000000433,287148.66000000003
A00000338,2024-01-31,T000000434,176485.07
A00000339,2024-01-31,T000000435,6312.469999999999
A00000341,2024-01-31,T000000436,429660.68
A00000342,2024-01-31,T000000437,2730.21
A00000343,2024-01-31,T000000438,158851.6
A00000348,2024-01-31,T000000439,683.97
A00000348,2024-01-31,T000000440,658.97
A00000350,2024-01-31,T000000441,46080.89
A00000350,2024-01-31,T000000442,46142.76
A00000350,2024-01-31,T000000443,46360.75
A00000351,2024-01-31,T000000444,588885.84
A00000351,2024-01-31,T000000445,586905.9099999999
A00000353,2024-01-31,T000000446,-949.55
A00000354,2024-01-31,T000000447,22260.260000000002
A00000354,2024-01-31,T000000448,22248.260000000002
A00000354,2024-01-31,T000000449,22186.250000000004
A00000354,2024-01-31,T000000450,22626.160000000003
A00000354,2024-01-31,T000000451,22623.160000000003
A00000354,2024-01-31,T000000452,22685.820000000003
A00000355,2024-01-31,T000000453,710.95
A00000355,2024-01-31,T000000454,701
A00000356,2024-01-31,T000000455,2024.63
A00000357,2024-01-31,T000000456,2771.9500000000003
A00000358,2024-01-31,T000000457,15855.25
A00000358,2024-01-31,T000000458,15830.25
A00000358,2024-01-31,T000000459,15936.57
A00000359,2024-01-31,T000000460,2344.55
A00000359,2024-01-31,T000000461,2341.55
A00000359,2024-01-31,T000000462,3634.9800000000005
A00000360,2024-01-31,T000000463,5253.86
A00000362,2024-01-31,T000000464,126496.81
A00000362,2024-01-31,T000000465,126471.81
A00000365,2024-01-31,T000000466,1131.86
A00000367,2024-01-31,T000000467,6749.45
A00000368,2024-01-31,T000000468,9968.89
A00000369,2024-01-31,T000000469,-355.93000000000006
A00000370,2024-01-31,T000000470,152436.66999999998
A00000370,2024-01-31,T000000471,152441.62999999998
A00000371,2024-01-31,T000000472,14822.83
A00000371,2024-01-31,T000000473,14785.21
A00000372,2024-01-31,T000000474,2971.12
A00000373,2024-01-31,T000000475,69655.4
A00000374,2024-01-31,T000000476,16747.52
A00000374,2024-01-31,T000000477,16772.74
A00000374,2024-01-31,T000000478,16914.61
A00000376,2024-01-31,T000000479,343.53
A00000378,2024-01-31,T000000480,459002.12
A00000379,2024-01-31,T000000481,3227.2
A00000380,2024-01-31,T000000482,5899.13
A00000380,2024-01-31,T000000483,5583.18
A00000380,2024-01-31,T000000484,5588.06
A00000381,2024-01-31,T000000485,2087.99
A00000382,2024-01-31,T000000486,2251.34
A00000384,2024-01-31,T000000487,32303.46
A00000384,2024-01-31,T000000488,32335.26
A00000385,2024-01-31,T000000489,4892.76
A00000385,2024-01-31,T000000490,4889.76
A00000387,2024-01-31,T000000491,374294.51999999996
A00000387,2024-01-31,T000000492,372442.80999999994
A00000388,2024-01-31,T000000493,30311.22
A00000388,2024-01-31,T000000494,27412.480000000003
A00000388,2024-01-31,T000000495,25885.260000000002
A00000388,2024-01-31,T000000496,25662.010000000002
A00000388,2024-01-31,T000000497,25842.870000000003
A00000388,2024-01-31,T000000498,25662.050000000003
A00000390,2024-01-31,T000000499,33927.24
A00000390,2024-01-31,T000000500,33875.4
A00000391,2024-01-31,T000000501,2170.0699999999997
A00000392,2024-01-31,T000000502,488857.05
A00000392,2024-01-31,T000000503,488845.05
A00000392,2024-01-31,T000000504,488833.05
A00000393,2024-01-31,T000000505,1352.69
A00000395,2024-01-31,T000000506,530541.5
A00000397,2024-01-31,T000000507,17174.53
A00000397,2024-01-31,T000000508,15686.839999999998
A00000397,2024-01-31,T000000509,15759.699999999999
A00000400,2024-01-31,T000000510,91612.13
A00000401,2024-01-31,T000000511,1820.8500000000001
A00000401,2024-01-31,T000000512,1868.7500000000002
A00000403,2024-01-31,T000000513,4170.46
A00000404,2024-01-31,T000000514,7698.610000000001
A00000404,2024-01-31,T000000515,7688.660000000001
A00000404,2024-01-31,T000000516,7710.52
A00000406,2024-01-31,T000000517,50615.35
A00000406,2024-01-31,T000000518,48228.04
A00000408,2024-01-31,T000000519,15769.630000000001
A00000409,2024-01-31,T000000520,8715.57
A00000410,2024-01-31,T000000521,25933.04
A00000414,2024-01-31,T000000522,188.35000000000002
A00000414,2024-01-31,T000000523,204.25000000000003
A00000414,2024-01-31,T000000524,195.80000000000004
A00000415,2024-01-31,T000000525,8026.85
A00000416,2024-01-31,T000000526,138200.56
A00000417,2024-01-31,T000000527,4184.49
A00000418,2024-01-31,T000000528,18817.73
A00000419,2024-01-31,T000000529,63038.350000000006
A00000420,2024-01-31,T000000530,18241.15
A00000420,2024-01-31,T000000531,17137.9
A00000420,2024-01-31,T000000532,17327.33
A00000421,2024-01-31,T000000533,3619.07
A00000422,2024-01-31,T000000534,1463.4
A00000422,2024-01-31,T000000535,1634.94
A00000425,2024-01-31,T000000536,10775.83
A00000427,2024-01-31,T000000537,933.19
A00000427,2024-01-31,T000000538,908.19
A00000427,2024-01-31,T000000539,1070.14
A00000429,2024-01-31,T000000540,9154.880000000001
A00000429,2024-01-31,T000000541,7732.950000000001
A00000430,2024-01-31,T000000542,143643.49
A00000430,2024-01-31,T000000543,143429.99
A00000430,2024-01-31,T000000544,143328.09999999998
A00000431,2024-01-31,T000000545,13495.16
A00000432,2024-01-31,T000000546,97729.40000000001
A00000434,2024-01-31,T000000547,480.18
A00000436,2024-01-31,T000000548,26035.75
A00000437,2024-01-31,T000000549,210.99
A00000438,2024-01-31,T000000550,351954.13
A00000439,2024-01-31,T000000551,35303.02
A00000439,2024-01-31,T000000552,32209.539999999997
A00000439,2024-01-31,T000000553,32197.539999999997
A00000440,2024-01-31,T000000554,9825.8
A00000441,2024-01-31,T000000555,44401.21
A00000442,2024-01-31,T000000556,14553.55
A00000444,2024-01-31,T000000557,8140.07
A00000446,2024-01-31,T000000558,5567.4800000000005
A00000448,2024-01-31,T000000559,369778.39
A00000449,2024-01-31,T000000560,46232.29
A00000450,2024-01-31,T000000561,836527.47
A00000451,2024-01-31,T000000562,69408.28
A00000451,2024-01-31,T000000563,69329.72
A00000451,2024-01-31,T000000564,69294.72
A00000453,2024-01-31,T000000565,9237.56
A00000453,2024-01-31,T000000566,7632.25
A00000454,2024-01-31,T000000567,7791.08
A00000454,2024-01-31,T000000568,7766.08
A00000455,2024-01-31,T000000569,1240.1299999999999
A00000456,2024-01-31,T000000570,3748.76
A00000457,2024-01-31,T000000571,-981.6300000000001
A00000458,2024-01-31,T000000572,70917.95
A00000459,2024-01-31,T000000573,4347.44
A00000459,2024-01-31,T000000574,4789.849999999999
A00000459,2024-01-31,T000000575,4881.249999999999
A00000459,2024-01-31,T000000576,4830.839999999999
A00000459,2024-01-31,T000000577,4750.4
A00000459,2024-01-31,T000000578,4922.45
A00000462,2024-01-31,T000000579,42941
A00000463,2024-01-31,T000000580,104302.23
A00000463,2024-01-31,T000000581,102719.34999999999
A00000465,2024-01-31,T000000582,9426.050000000001
A00000465,2024-01-31,T000000583,9440.900000000001
A00000466,2024-01-31,T000000584,26340.25
A00000467,2024-01-31,T000000585,7242.89
A00000467,2024-01-31,T000000586,7443.05
A00000467,2024-01-31,T000000587,5982.29
A00000468,2024-01-31,T000000588,7436.589999999999
A00000468,2024-01-31,T000000589,7401.589999999999
A00000469,2024-01-31,T000000590,820.83
A00000469,2024-01-31,T000000591,808.83
A00000469,2024-01-31,T000000592,747.4100000000001
A00000471,2024-01-31,T000000593,23113.15
A00000471,2024-01-31,T000000594,22905.4
A00000471,2024-01-31,T000000595,22918.58
A00000471,2024-01-31,T000000596,22847.13
A00000471,2024-01-31,T000000597,23312.72
A00000471,2024-01-31,T000000598,23369.68
A00000472,2024-01-31,T000000599,27348.33
A00000474,2024-01-31,T000000600,1180.09
A00000475,2024-01-31,T000000601,375.52
A00000476,2024-01-31,T000000602,87575.18999999999
A00000477,2024-01-31,T000000603,-30365.509999999995
A00000478,2024-01-31,T000000604,4469.1900000000005
A00000479,2024-01-31,T000000605,314.87
A00000479,2024-01-31,T000000606,332.27
A00000480,2024-01-31,T000000607,288127.94
A00000483,2024-01-31,T000000608,200515.78999999998
