account_id,score_date,intercept,woe_fico,woe_util,woe_dpd,woe_age,woe_ltv,log_odds,pd
A00000041,2024-01-31,-3.2145,-0.356,0,-0.678,-0.289,-0.234,-3.6078330000000003,0.026394950632673827
A00000042,2024-01-31,-3.2145,-0.356,0.334,-0.678,-0.534,0,-3.5267600000000003,0.02856034317918137
A00000045,2024-01-31,-3.2145,-0.356,0.334,-0.678,-0.534,0,-3.5267600000000003,0.02856034317918137
A00000047,2024-01-31,-3.2145,-1.204,0,0.445,-0.289,-0.234,-3.6326620000000003,0.02576433648064646
A00000049,2024-01-31,-3.2145,-0.812,0,-0.678,0.045,-0.712,-3.8373790000000003,0.0210954038032358
A00000050,2024-01-31,-3.2145,-0.812,0.334,-0.678,-0.534,0,-3.7146320000000004,0.02378490060207898
A00000052,2024-01-31,-3.2145,-0.812,0,-0.678,0.045,-0.234,-3.7733270000000005,0.022459478834499152
A00000053,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,0.356,-3.7330600000000005,0.023360751771988625
A00000054,2024-01-31,-3.2145,-0.812,0.334,-0.678,-0.289,0,-3.698217,0.024169037627935066
A00000055,2024-01-31,-3.2145,1.102,0.334,-0.678,-0.289,0,-2.909649,0.05167863455104849
A00000056,2024-01-31,-3.2145,-1.204,-0.102,0.445,0.045,0.356,-3.5514200000000002,0.027884056687285462
A00000057,2024-01-31,-3.2145,-1.204,-0.102,-0.678,-0.289,0,-3.946049,0.018964329506603997
A00000058,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.534,0,-3.012392,0.04686917327342503
A00000059,2024-01-31,-3.2145,1.102,-0.102,-0.678,0.045,-0.712,-3.069007,0.04440394373994475
A00000061,2024-01-31,-3.2145,1.102,-0.521,-0.678,-0.289,0,-3.078939,0.04398440863333547
A00000063,2024-01-31,-3.2145,1.102,0,-0.678,0.045,-0.234,-2.9847590000000004,0.04811917943428505
A00000066,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,-0.234,-3.8121200000000006,0.021623370505559285
A00000067,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,0.356,-3.7330600000000005,0.023360751771988625
A00000070,2024-01-31,-3.2145,1.102,0.334,-0.678,0.045,0,-2.887271,0.052786402017923145
A00000071,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,-0.712,-3.27218,0.036538008188879936
A00000072,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,0.356,-3.7330600000000005,0.023360751771988625
A00000076,2024-01-31,-3.2145,1.102,0,-0.678,0.045,-0.712,-3.048811,0.04526883377251663
A00000078,2024-01-31,-3.2145,0.198,0,-0.678,0.045,-0.234,-3.3572070000000003,0.033659952848813235
A00000079,2024-01-31,-3.2145,0.198,-0.521,-0.678,-0.289,0,-3.451387,0.030727522962940425
A00000084,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0.356,-2.928077,0.050782941254253096
A00000085,2024-01-31,-3.2145,-1.204,0.334,-0.678,-0.289,-0.712,-3.955129,0.01879613477567586
A00000088,2024-01-31,-3.2145,-0.356,0.334,-0.678,-0.534,0,-3.5267600000000003,0.02856034317918137
A00000089,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,-0.234,-3.9736240000000005,0.018458052967874367
A00000091,2024-01-31,-3.2145,-1.204,-0.102,-0.678,0.045,0,-3.923671,0.019385177827019106
A00000092,2024-01-31,-3.2145,-1.204,0,0.445,0.045,-0.234,-3.6102840000000005,0.02633203726595041
A00000095,2024-01-31,-3.2145,0.198,-0.521,-0.678,-0.289,0,-3.451387,0.030727522962940425
A00000097,2024-01-31,-3.2145,-1.204,-0.521,1.567,-0.534,0,-3.3966210000000006,0.03240123384079482
A00000099,2024-01-31,-3.2145,-1.204,-0.521,-0.678,-0.289,0,-4.029011000000001,0.01748089875379115
A00000100,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0,-2.9921960000000003,0.04777967963943846
A00000103,2024-01-31,-3.2145,-1.204,-0.521,-0.678,-0.534,0.356,-3.997722,0.018026489817812606
A00000104,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.289,0,-3.263515,0.03684427002930762
A00000105,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.534,-0.712,-3.375338,0.033075167036830624
A00000108,2024-01-31,-3.2145,0.198,-0.102,0.445,-0.289,0,-3.043878,0.04548251478742126
A00000109,2024-01-31,-3.2145,0.198,0,-0.678,-0.534,-0.712,-3.460052,0.03047049704075253
A00000110,2024-01-31,-3.2145,0.654,1.245,-0.678,-0.289,0,-2.9138469999999996,0.051473285941730805
A00000111,2024-01-31,-3.2145,0.654,-0.521,-0.678,0.045,0,-3.241137,0.03764667601464227
A00000112,2024-01-31,-3.2145,1.102,-0.102,-0.678,0.456,0,-2.946062,0.04992296279216383
A00000121,2024-01-31,-3.2145,0.654,1.245,-0.678,-0.289,0,-2.9138469999999996,0.051473285941730805
A00000122,2024-01-31,-3.2145,-1.204,0.789,-0.678,0.045,0,-3.747253,0.023039119316774506
A00000123,2024-01-31,-3.2145,-1.204,0.334,-0.678,0.456,0,-3.809806,0.021672379256608486
A00000124,2024-01-31,-3.2145,-1.204,0,0.445,0.456,-0.234,-3.5827470000000003,0.027047333771338593
A00000126,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.889,-2.8730700000000002,0.05350097816506306
A00000129,2024-01-31,-3.2145,-1.204,0,0.445,-0.289,-0.234,-3.6326620000000003,0.02576433648064646
A00000130,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,-0.234,-3.8121200000000006,0.021623370505559285
A00000134,2024-01-31,-3.2145,-0.356,-0.102,-0.678,0.045,0,-3.574295,0.027270646044114846
A00000135,2024-01-31,-3.2145,-0.356,-0.102,-0.678,-0.534,0,-3.6130880000000003,0.026260241863462697
A00000139,2024-01-31,-3.2145,-0.812,0,-0.678,-0.289,0.889,-3.645223,0.025450919759737095
A00000145,2024-01-31,-3.2145,-1.204,-0.102,-0.678,-0.289,0,-3.946049,0.018964329506603997
A00000150,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.534,0,-3.012392,0.04686917327342503
A00000151,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,-0.234,-3.8121200000000006,0.021623370505559285
A00000156,2024-01-31,-3.2145,1.102,0,-0.678,0.045,0.356,-2.9056990000000003,0.05187255912947061
A00000157,2024-01-31,-3.2145,0.654,-0.956,-0.678,-0.289,0,-3.3496449999999998,0.033906791013031255
A00000163,2024-01-31,-3.2145,1.102,-0.102,-0.678,0.045,0,-2.973599,0.04863293452378598
A00000167,2024-01-31,-3.2145,-0.356,-0.521,-0.678,-0.289,0,-3.679635,0.024611188882117142
A00000169,2024-01-31,-3.2145,0.654,0,-0.678,0.045,-0.234,-3.1693350000000002,0.04033614913646951
A00000171,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.289,0.889,-3.144389,0.04131293740431848
A00000172,2024-01-31,-3.2145,-0.356,-0.521,-0.678,0.045,0.889,-3.5381310000000004,0.028246544339559976
A00000173,2024-01-31,-3.2145,-0.356,0,-0.678,-0.289,-0.234,-3.6078330000000003,0.026394950632673827
A00000174,2024-01-31,-3.2145,1.102,0,-0.678,0.045,-0.712,-3.048811,0.04526883377251663
A00000177,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,0,-3.9422680000000003,0.019034801906677064
A00000178,2024-01-31,-3.2145,-1.204,0,-0.678,-0.289,-0.234,-3.957209,0.018757812039480154
A00000179,2024-01-31,-3.2145,-0.356,0,-0.678,-0.534,-0.712,-3.6883000000000004,0.02440403602226843
A00000181,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,-0.234,-3.2081280000000003,0.03886099486387373
A00000186,2024-01-31,-3.2145,-1.204,0,-0.678,0.456,-0.234,-3.9072940000000003,0.019698957406440776
A00000187,2024-01-31,-3.2145,-1.204,0,-0.678,0.045,-0.712,-3.998883,0.018005949831010417
A00000188,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,-0.234,-3.9736240000000005,0.018458052967874367
A00000190,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.234,-3.007137,0.047104486806167994
A00000192,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.356,-2.9444920000000003,0.049997481570494655
A00000194,2024-01-31,-3.2145,0.654,-0.521,-0.678,0.045,0,-3.241137,0.03764667601464227
A00000195,2024-01-31,-3.2145,0.654,-0.102,-0.678,-0.289,0,-3.1805529999999997,0.03990414213518459
A00000197,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,0.356,-3.129068,0.041924026166710704
A00000199,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,-0.234,-3.2081280000000003,0.03886099486387373
A00000201,2024-01-31,-3.2145,0.654,0,-0.678,-0.289,-0.712,-3.255765,0.03712028184624886
A00000202,2024-01-31,-3.2145,1.102,1.245,-0.678,0.456,0,-2.679356,0.06420255744722271
A00000204,2024-01-31,-3.2145,0.654,0.334,-0.678,0.045,-0.712,-3.167255,0.04041674118148828
A00000205,2024-01-31,-3.2145,0.654,-0.102,-0.678,-0.289,0,-3.1805529999999997,0.03990414213518459
A00000206,2024-01-31,-3.2145,-1.204,0,-0.678,-0.289,0,-3.925853,0.01934374280154593
A00000207,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.289,0,-2.995977,0.04760795014266556
A00000210,2024-01-31,-3.2145,0.198,-0.521,0.445,-0.534,0,-3.1432550000000004,0.04135787417995821
A00000212,2024-01-31,-3.2145,1.102,-0.521,-0.678,0.045,0,-3.0565610000000003,0.044935060077134645
A00000213,2024-01-31,-3.2145,1.102,-0.521,-0.678,-0.534,0,-3.0953540000000004,0.04329930520994202
A00000214,2024-01-31,-3.2145,1.102,-0.521,-0.678,0.045,0,-3.0565610000000003,0.044935060077134645
A00000215,2024-01-31,-3.2145,-0.812,0.334,-0.678,0.045,0,-3.6758390000000003,0.024702478306684532
A00000217,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,-0.712,-3.0876040000000002,0.04362148360957221
A00000219,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,0.356,-3.129068,0.041924026166710704
A00000220,2024-01-31,-3.2145,0.654,-0.102,-0.678,0.045,0,-3.158175,0.040770366146714795
A00000221,2024-01-31,-3.2145,0.654,0.789,-0.678,0.456,0,-2.95422,0.04953744113215315
A00000222,2024-01-31,-3.2145,0.198,0,-0.678,0.456,0,-3.298314,0.035629074297746394
A00000224,2024-01-31,-3.2145,1.102,0,-0.678,0.045,0,-2.9534030000000002,0.04957592249788785
A00000225,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0,-2.9921960000000003,0.04777967963943846
A00000230,2024-01-31,-3.2145,-0.812,0,-0.678,-0.289,-0.234,-3.7957050000000003,0.021973383605277376
A00000232,2024-01-31,-3.2145,-1.204,0.334,-0.678,0.456,0,-3.809806,0.021672379256608486
A00000238,2024-01-31,-3.2145,0.198,0.334,-0.678,0.045,0,-3.259719,0.036979214897264266
A00000239,2024-01-31,-3.2145,-0.812,0,0.445,0.045,0.356,-3.3697200000000005,0.033255309493420704
A00000240,2024-01-31,-3.2145,-0.812,0,-0.678,0.045,0,-3.7419710000000004,0.0231583082504738
A00000244,2024-01-31,-3.2145,0.654,-0.102,-0.678,-0.534,0,-3.196968,0.03927998188115421
A00000246,2024-01-31,-3.2145,-1.204,0,-0.678,0.045,-0.234,-3.9348310000000004,0.019174166985147473
A00000247,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.534,0,-3.2799300000000002,0.036266162860211476
A00000248,2024-01-31,-3.2145,-1.204,-0.102,-0.678,-0.289,0,-3.946049,0.018964329506603997
A00000250,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,0,-3.9422680000000003,0.019034801906677064
A00000251,2024-01-31,-3.2145,-0.356,0,-0.678,-0.289,-0.234,-3.6078330000000003,0.026394950632673827
A00000252,2024-01-31,-3.2145,-0.356,0,-0.678,0.456,-0.234,-3.5579180000000004,0.027708457737884284
A00000254,2024-01-31,-3.2145,-0.812,0,-0.678,-0.289,0.356,-3.716645,0.023738205173526088
A00000256,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.534,0,-3.2799300000000002,0.036266162860211476
A00000257,2024-01-31,-3.2145,0.654,0,-0.678,-0.534,-0.712,-3.27218,0.036538008188879936
A00000259,2024-01-31,-3.2145,-0.812,-0.102,-0.678,-0.534,0,-3.8009600000000003,0.021860733982364235
A00000260,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,0.889,-3.6616380000000004,0.025046931742969097
A00000265,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.356,-2.9444920000000003,0.049997481570494655
A00000266,2024-01-31,-3.2145,0.654,-0.956,-0.678,0.045,0,-3.327267,0.03464752497331418
A00000267,2024-01-31,-3.2145,-0.356,0,-0.678,-0.534,-0.712,-3.6883000000000004,0.02440403602226843
A00000270,2024-01-31,-3.2145,-1.204,-0.102,-0.678,-0.534,0,-3.962464,0.018661332948598702
A00000272,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.712,-3.071189,0.04431144859350694
A00000274,2024-01-31,-3.2145,-0.812,-0.521,-0.678,-0.534,0,-3.8839220000000005,0.020155394965901446
A00000275,2024-01-31,-3.2145,-0.812,-0.102,-0.678,-0.289,0,-3.784545,0.022214501998473943
A00000276,2024-01-31,-3.2145,-1.204,-0.102,-0.678,-0.289,-0.234,-3.977405,0.01838967583164414
A00000277,2024-01-31,-3.2145,-1.204,0,-0.678,0.456,-0.234,-3.9072940000000003,0.019698957406440776
A00000279,2024-01-31,-3.2145,0.654,-0.102,-0.678,0.045,0,-3.158175,0.040770366146714795
A00000280,2024-01-31,-3.2145,-0.356,-0.521,-0.678,-0.534,0,-3.6960500000000005,0.024220198829546617
A00000284,2024-01-31,-3.2145,-0.356,0,-0.678,0.045,0,-3.5540990000000003,0.02781153005211879
A00000288,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0.356,-2.928077,0.050782941254253096
A00000290,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.289,0,-2.995977,0.04760795014266556
A00000293,2024-01-31,-3.2145,0.198,0,-0.678,-0.534,0,-3.364644,0.033418887012763014
A00000294,2024-01-31,-3.2145,-0.812,0.334,-0.678,0.456,0,-3.648302,0.02537466228078256
A00000297,2024-01-31,-3.2145,1.102,-0.521,-0.678,-0.534,0,-3.0953540000000004,0.04329930520994202
A00000300,2024-01-31,-3.2145,-1.204,1.245,-0.678,-0.289,0,-3.679343,0.02461819945488278
A00000301,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.534,0,-3.012392,0.04686917327342503
A00000304,2024-01-31,-3.2145,-1.204,1.245,-0.678,-0.289,0,-3.679343,0.02461819945488278
A00000305,2024-01-31,-3.2145,-1.204,0,-0.678,0.456,0,-3.875938,0.020313677772766884
A00000306,2024-01-31,-3.2145,-0.812,0,-0.678,-0.534,-0.234,-3.8121200000000006,0.021623370505559285
A00000309,2024-01-31,-3.2145,-1.204,-0.521,-0.678,0.045,0,-4.006633,0.017869427038019622
A00000310,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,0.356,-3.8945640000000004,0.01994629420594979
A00000312,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.534,-0.234,-3.3112860000000004,0.035186035999445024
A00000314,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.234,-3.007137,0.047104486806167994
A00000315,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,-0.712,-3.0876040000000002,0.04362148360957221
A00000322,2024-01-31,-3.2145,-1.204,-0.521,-0.678,-0.534,0,-4.045426,0.017201187672940498
A00000323,2024-01-31,-3.2145,-1.204,0,-0.678,0.456,0.356,-3.828234,0.02128508098409467
A00000324,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.534,0,-3.012392,0.04686917327342503
A00000325,2024-01-31,-3.2145,1.102,0,-0.678,0.456,-0.234,-2.9572220000000002,0.049396287502463256
A00000326,2024-01-31,-3.2145,0.654,1.245,-0.678,-0.534,-0.234,-2.961618,0.04919027604316104
A00000329,2024-01-31,-3.2145,0.198,1.245,-0.678,-0.534,0,-3.118134,0.042365411936905024
A00000330,2024-01-31,-3.2145,0.198,0.789,-0.678,-0.534,0,-3.208422,0.038850015212042704
A00000332,2024-01-31,-3.2145,-1.204,0,-0.678,-0.289,0,-3.925853,0.01934374280154593
A00000333,2024-01-31,-3.2145,-1.204,0.789,-0.678,-0.534,0,-3.7860460000000002,0.02218192212157902
A00000335,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,0.356,-3.8945640000000004,0.01994629420594979
A00000337,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.889,-2.8730700000000002,0.05350097816506306
A00000339,2024-01-31,-3.2145,1.102,-0.102,0.445,0.456,0,-2.621515,0.06776652193684454
A00000341,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0.356,-2.928077,0.050782941254253096
A00000344,2024-01-31,-3.2145,-0.356,0,-0.678,0.045,0.356,-3.5063950000000004,0.02913082033600155
A00000346,2024-01-31,-3.2145,-1.204,0,-0.678,-0.289,-0.234,-3.957209,0.018757812039480154
A00000348,2024-01-31,-3.2145,0.198,-0.102,-0.678,-0.289,0,-3.368425,0.03329696813259202
A00000349,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.289,-0.234,-3.294871,0.035747563877380484
A00000350,2024-01-31,-3.2145,0.654,0,-0.678,0.456,-0.712,-3.20585,0.03894616946407149
A00000351,2024-01-31,-3.2145,0.654,0,-0.678,0.045,0.889,-3.018853,0.04658138809251191
A00000355,2024-01-31,-3.2145,-1.204,-0.521,-0.678,-0.534,0,-4.045426,0.017201187672940498
A00000358,2024-01-31,-3.2145,-0.812,0.334,1.567,-0.289,0,-3.0494120000000002,0.045242865910701
A00000359,2024-01-31,-3.2145,-0.812,-0.102,-0.678,-0.534,0,-3.8009600000000003,0.021860733982364235
A00000360,2024-01-31,-3.2145,-0.812,-0.521,-0.678,-0.534,0,-3.8839220000000005,0.020155394965901446
A00000361,2024-01-31,-3.2145,-0.812,0,-0.678,0.045,0,-3.7419710000000004,0.0231583082504738
A00000362,2024-01-31,-3.2145,0.198,0,-0.678,0.045,-0.234,-3.3572070000000003,0.033659952848813235
A00000368,2024-01-31,-3.2145,-0.812,1.245,-0.678,-0.534,0,-3.5342540000000002,0.028353157721638746
A00000369,2024-01-31,-3.2145,0.654,-0.521,-0.678,0.456,0,-3.2136,0.03865712612950261
A00000375,2024-01-31,-3.2145,0.198,0,-0.678,-0.534,-0.234,-3.3960000000000004,0.03242070871086247
A00000376,2024-01-31,-3.2145,-0.812,-0.102,-0.678,0.456,0,-3.73463,0.023324958971472458
A00000378,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,-0.234,-3.0235520000000005,0.046373142235640305
A00000381,2024-01-31,-3.2145,0.654,-0.102,-0.678,-0.289,0,-3.1805529999999997,0.03990414213518459
A00000383,2024-01-31,-3.2145,-1.204,-0.521,-0.678,0.456,0,-3.979096,0.018359175599242907
A00000386,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.234,-3.007137,0.047104486806167994
A00000387,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.889,-2.8730700000000002,0.05350097816506306
A00000388,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0,-2.975781,0.04853207761710067
A00000391,2024-01-31,-3.2145,1.102,-0.102,0.445,-0.534,0,-2.6878450000000003,0.06369441623869056
A00000392,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.234,-3.007137,0.047104486806167994
A00000393,2024-01-31,-3.2145,1.102,-0.521,-0.678,-0.534,0,-3.0953540000000004,0.04329930520994202
A00000395,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.889,-2.8730700000000002,0.05350097816506306
A00000397,2024-01-31,-3.2145,1.102,0.334,-0.678,-0.534,0,-2.926064,0.05088006376752171
A00000400,2024-01-31,-3.2145,-1.204,0,-0.678,-0.534,-0.712,-4.037676,0.017332695203054287
A00000402,2024-01-31,-3.2145,1.102,-0.521,-0.678,-0.534,0,-3.0953540000000004,0.04329930520994202
A00000404,2024-01-31,-3.2145,-0.356,0.334,-0.678,-0.534,0,-3.5267600000000003,0.02856034317918137
A00000405,2024-01-31,-3.2145,-0.356,-0.521,-0.678,-0.534,0,-3.6960500000000005,0.024220198829546617
A00000406,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0.356,-2.928077,0.050782941254253096
A00000407,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.289,0,-2.995977,0.04760795014266556
A00000409,2024-01-31,-3.2145,1.102,0.334,-0.678,-0.289,0,-2.909649,0.05167863455104849
A00000410,2024-01-31,-3.2145,1.102,0,-0.678,0.045,0,-2.9534030000000002,0.04957592249788785
A00000415,2024-01-31,-3.2145,-0.812,-0.102,-0.678,-0.289,0,-3.784545,0.022214501998473943
A00000420,2024-01-31,-3.2145,-1.204,0.789,-0.678,-0.534,0,-3.7860460000000002,0.02218192212157902
A00000423,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.534,0,-3.2799300000000002,0.036266162860211476
A00000426,2024-01-31,-3.2145,-1.204,0.789,-0.678,-0.534,0,-3.7860460000000002,0.02218192212157902
A00000429,2024-01-31,-3.2145,0.654,-0.521,-0.678,-0.534,0,-3.2799300000000002,0.036266162860211476
A00000431,2024-01-31,-3.2145,-0.812,0,0.445,-0.289,0,-3.4398020000000002,0.03107444515334032
A00000435,2024-01-31,-3.2145,0.654,0,-0.678,0.045,0,-3.137979,0.041567560776943964
A00000437,2024-01-31,-3.2145,1.102,-0.956,0.445,0.456,0,-2.790607,0.05783387150517253
A00000438,2024-01-31,-3.2145,-0.356,0,-0.678,-0.534,-0.712,-3.6883000000000004,0.02440403602226843
A00000439,2024-01-31,-3.2145,1.102,0,-0.678,0.456,-0.234,-2.9572220000000002,0.049396287502463256
A00000441,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,-0.234,-3.0235520000000005,0.046373142235640305
A00000442,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0,-2.9921960000000003,0.04777967963943846
A00000443,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.234,-3.007137,0.047104486806167994
A00000445,2024-01-31,-3.2145,1.102,0,-0.678,-0.534,0.356,-2.9444920000000003,0.049997481570494655
A00000448,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,-0.712,-3.071189,0.04431144859350694
A00000450,2024-01-31,-3.2145,-0.812,0,-0.678,0.456,-0.712,-3.809842,0.02167161597301173
A00000452,2024-01-31,-3.2145,1.102,0,-0.678,-0.289,0,-2.975781,0.04853207761710067
A00000453,2024-01-31,-3.2145,0.654,0.334,-0.678,-0.534,0,-3.11064,0.0426704927429612
A00000456,2024-01-31,-3.2145,0.654,0,-0.678,0.456,0,-3.110442,0.04267858172031654
A00000461,2024-01-31,-3.2145,0.654,-0.102,-0.678,0.456,0,-3.130638,0.041861010247948936
A00000463,2024-01-31,-3.2145,1.102,1.245,-0.678,-0.289,0,-2.729271,0.06126807733702479
A00000464,2024-01-31,-3.2145,1.102,-0.102,-0.678,-0.289,0,-2.995977,0.04760795014266556
A00000467,2024-01-31,-3.2145,-0.356,-0.102,-0.678,0.045,0,-3.574295,0.027270646044114846
A00000469,2024-01-31,-3.2145,0.198,-0.521,-0.678,-0.289,0,-3.451387,0.030727522962940425
A00000470,2024-01-31,-3.2145,1.102,-0.521,0.445,0.456,0,-2.7044770000000002,0.06270969483977319
A00000474,2024-01-31,-3.2145,0.198,-0.102,-0.678,-0.534,0,-3.38484,0.03277262623605143
A00000475,2024-01-31,-3.2145,-0.356,-0.521,-0.678,-0.534,0,-3.6960500000000005,0.024220198829546617
A00000476,2024-01-31,-3.2145,-0.356,0,-0.678,-0.534,-0.712,-3.6883000000000004,0.02440403602226843
A00000478,2024-01-31,-3.2145,-0.356,-0.102,-0.678,-0.534,0,-3.6130880000000003,0.026260241863462697
A00000480,2024-01-31,-3.2145,0.198,0,-0.678,-0.534,-0.712,-3.460052,0.03047049704075253
A00000482,2024-01-31,-3.2145,0.654,-0.956,-0.678,-0.534,-0.234,-3.397416,0.03237631874593015
A00000483,2024-01-31,-3.2145,-0.812,0,-0.678,0.456,-0.712,-3.809842,0.02167161597301173
