transaction_id,account_id,transaction_date,transaction_type,transaction_amount,channel,merchant_category,description,post_date,currency_code,account_type,customer_id,customer_segment,region_code,branch_id,pre_txn_balance,post_txn_balance,risk_rating,running_balance
T000000012,A00000005,2024-01-31,PMT,688.99,MOBILE,7011,PMT WIRE REF397082,2024-01-31,USD,HELC,C0000003,RET,W,B035,55331.94,54642.950000000004,5,53360.24
T000000013,A00000008,2024-01-31,INT,145.9,POS,5812,INT WIRE REF256179,2024-01-31,USD,CC,C0000005,SMB,NE,B033,807.31,953.2099999999999,1,953.2099999999999
T000000014,A00000008,2024-01-31,PMT,1629,ATM,0000,PMT WIRE REF708145,2024-01-31,USD,CC,C0000005,SMB,NE,B033,807.31,-821.69,1,-675.7900000000001
T000000015,A00000008,2024-01-31,WDR,2700.45,WIRE,5812,INT ACH REF856473,2024-01-31,USD,CC,C0000005,SMB,NE,B033,807.31,-1893.1399999999999,1,-3376.24
T000000016,A00000009,2024-01-31,TRF,305.22,MOBILE,5411,TRF ACH REF280271,2024-01-31,USD,CHK,C0000005,SMB,NE,B017,12997.97,13303.189999999999,1,13303.189999999999
T000000017,A00000010,2024-01-31,PMT,1904.99,POS,5812,PMT ACH REF794467,2024-01-31,USD,MTG,C0000005,SMB,NE,B028,518416.04,516511.05,1,516511.05
T000000018,A00000010,2024-01-31,PMT,1126.82,WIRE,6011,PMT ONLINE REF827225,2024-01-31,USD,MTG,C0000005,SMB,NE,B028,518416.04,517289.22,1,515384.23
T000000019,A00000010,2024-01-31,CHG,3,POS,5541,CHG ATM REF567784,2024-01-31,USD,MTG,C0000005,SMB,NE,B028,518416.04,518413.04,1,515381.23
T000000020,A00000011,2024-01-31,CHG,9.95,WIRE,6011,CHG POS REF260049,2024-01-31,USD,CC,C0000006,PREM,NW,B046,2422.58,2412.63,7,2412.63
T000000021,A00000013,2024-01-31,INT,181.71,ONLINE,6011,INT ONLINE REF730581,2024-01-31,USD,CHK,C0000008,SMB,MW,B048,3558.15,3739.86,4,3739.86
T000000022,A00000013,2024-01-31,WDR,247.17,POS,5541,WDR ATM REF291541,2024-01-31,USD,CHK,C0000008,SMB,MW,B048,3558.15,3310.98,4,3492.69
T000000023,A00000015,2024-01-31,WDR,190.97,MOBILE,5541,WDR MOBILE REF299245,2024-01-31,USD,IRA,C0000010,SMB,SE,B038,21945.01,21754.039999999997,3,21754.039999999997
T000000024,A00000016,2024-01-31,FEE,25,MOBILE,5541,FEE MOBILE REF435918,2024-01-31,USD,CD,C0000011,SMB,SW,B032,15204.96,15179.96,2,15179.96
T000000025,A00000018,2024-01-31,TRF,-40.81,WIRE,6011,TRF POS REF941118,2024-01-31,USD,CHK,C0000012,RET,W,B028,2366.27,2325.46,1,2325.46
T000000026,A00000020,2024-01-31,WDR,110.39,POS,5812,WDR ATM REF396252,2024-02-01,USD,SAV,C0000013,PREM,SE,B039,557.47,447.08000000000004,5,447.08000000000004
T000000027,A00000021,2024-01-31,FEE,12,BRANCH,5541,FEE BRANCH REF837813,2024-02-01,USD,PERS,C0000013,PREM,SE,B044,2068.19,2056.19,5,2056.19
T000000028,A00000021,2024-01-31,CHG,12,ACH,5411,CHG ACH REF713799,2024-01-31,USD,PERS,C0000013,PREM,SE,B044,2068.19,2056.19,5,2044.19
T000000029,A00000021,2024-01-31,PMT,3054.53,ACH,5912,PMT ACH REF880813,2024-01-31,USD,PERS,C0000013,PREM,SE,B044,2068.19,-986.3400000000001,5,-1010.3400000000001
T000000030,A00000022,2024-01-31,DEP,49.36,ONLINE,5541,DEP ACH REF978986,2024-01-31,USD,CD,C0000014,CORP,NE,B019,18142.28,18191.64,3,18191.64
T000000031,A00000023,2024-01-31,CHG,12,BRANCH,5912,CHG ATM REF228810,2024-01-31,USD,MTG,C0000014,CORP,NE,B006,127409.93,127397.93,3,127397.93
T000000032,A00000023,2024-01-31,PMT,1701.3,ATM,5812,PMT ACH REF163434,2024-02-01,USD,MTG,C0000014,CORP,NE,B006,127409.93,125708.62999999999,3,125696.62999999999
T000000033,A00000023,2024-01-31,CHG,9.95,BRANCH,5812,CHG MOBILE REF230588,2024-02-01,USD,MTG,C0000014,CORP,NE,B006,127409.93,127399.98,3,125686.68
T000000034,A00000025,2024-01-31,FEE,35,ATM,4900,FEE MOBILE REF875649,2024-01-31,USD,IRA,C0000015,RET,MW,B014,11042.98,11007.98,3,11007.98
T000000035,A00000025,2024-01-31,DEP,1737.46,POS,5812,DEP ONLINE REF506127,2024-01-31,USD,IRA,C0000015,RET,MW,B014,11042.98,12780.439999999999,3,12745.439999999999
T000000036,A00000026,2024-01-31,INT,48.67,BRANCH,5912,INT ATM REF767309,2024-01-31,USD,MTG,C0000015,RET,MW,B013,787669.93,787718.6000000001,3,787718.6000000001
T000000037,A00000027,2024-01-31,WDR,98.33,ATM,5541,WDR ATM REF148296,2024-02-01,USD,CHK,C0000016,RET,W,B035,511.59,413.26,2,413.26
T000000038,A00000027,2024-01-31,TRF,-128.98,ATM,7011,TRF ACH REF394642,2024-01-31,USD,CHK,C0000016,RET,W,B035,511.59,382.61,2,284.28
T000000039,A00000027,2024-01-31,WDR,526.63,POS,4900,WDR WIRE REF664483,2024-01-31,USD,CHK,C0000016,RET,W,B035,511.59,-15.04000000000002,2,-242.35000000000002
T000000040,A00000031,2024-01-31,TRF,-408.59,POS,4900,TRF ATM REF662228,2024-02-01,USD,CHK,C0000018,RET,MW,B023,98916.75,98508.16,1,98508.16
T000000041,A00000031,2024-01-31,DEP,47.29,ATM,6011,DEP ONLINE REF459641,2024-01-31,USD,CHK,C0000018,RET,MW,B023,98916.75,98964.04,1,98555.45
T000000042,A00000032,2024-01-31,DEP,361.26,MOBILE,5812,DEP WIRE REF957974,2024-01-31,USD,CHK,C0000018,RET,MW,B016,1021.52,1382.78,1,1382.78
T000000043,A00000032,2024-01-31,DEP,36.96,WIRE,7011,DEP ATM REF886824,2024-01-31,USD,CHK,C0000018,RET,MW,B016,1021.52,1058.48,1,1419.74
T000000044,A00000033,2024-01-31,CHG,9.95,WIRE,7011,CHG ONLINE REF697369,2024-01-31,USD,AUTO,C0000018,RET,MW,B013,40503.4,40493.450000000004,1,40493.450000000004
T000000045,A00000033,2024-01-31,FEE,3,MOBILE,5812,FEE ONLINE REF943064,2024-01-31,USD,AUTO,C0000018,RET,MW,B013,40503.4,40500.4,1,40490.450000000004
T000000046,A00000033,2024-01-31,FEE,12,ATM,0000,FEE WIRE REF725264,2024-01-31,USD,AUTO,C0000018,RET,MW,B013,40503.4,40491.4,1,40478.450000000004
T000000047,A00000034,2024-01-31,DEP,7.52,BRANCH,7011,DEP ACH REF371009,2024-01-31,USD,SAV,C0000018,RET,MW,B018,152004.63,152012.15,1,152012.15
T000000048,A00000034,2024-01-31,WDR,140.44,POS,5912,WDR MOBILE REF857346,2024-01-31,USD,SAV,C0000018,RET,MW,B018,152004.63,151864.19,1,151871.71
T000000049,A00000034,2024-01-31,DEP,7.15,ONLINE,5541,DEP ATM REF576305,2024-01-31,USD,SAV,C0000018,RET,MW,B018,152004.63,152011.78,1,151878.86
T000000050,A00000035,2024-01-31,PMT,2089.52,ACH,5812,PMT ATM REF258234,2024-01-31,USD,AUTO,C0000019,PB,NW,B008,33340.88,31251.359999999997,3,31251.359999999997
T000000051,A00000035,2024-01-31,PMT,412.91,BRANCH,5812,PMT BRANCH REF868983,2024-01-31,USD,AUTO,C0000019,PB,NW,B008,33340.88,32927.969999999994,3,30838.449999999997
T000000052,A00000035,2024-01-31,PMT,368.81,BRANCH,4900,PMT WIRE REF847988,2024-01-31,USD,AUTO,C0000019,PB,NW,B008,33340.88,32972.07,3,30469.639999999996
T000000053,A00000036,2024-01-31,REF,2973.37,ACH,4900,REF POS REF334645,2024-01-31,USD,MTG,C0000019,PB,NW,B014,309131.92,312105.29,3,312105.29
T000000054,A00000037,2024-01-31,DEP,29.21,ACH,5541,DEP MOBILE REF516217,2024-01-31,USD,CHK,C0000020,RET,MW,B026,3794,3823.21,2,3823.21
T000000055,A00000039,2024-01-31,WDR,466.74,ATM,4900,WDR WIRE REF958823,2024-01-31,USD,CHK,C0000022,RET,SE,B019,2913.01,2446.2700000000004,1,2446.2700000000004
T000000056,A00000039,2024-01-31,DEP,43.75,POS,7011,DEP ATM REF916181,2024-01-31,USD,CHK,C0000022,RET,SE,B019,2913.01,2956.76,1,2490.0200000000004
T000000057,A00000039,2024-01-31,FEE,12,POS,6011,FEE BRANCH REF129720,2024-01-31,USD,CHK,C0000022,RET,SE,B019,2913.01,2901.01,1,2478.0200000000004
T000000058,A00000040,2024-01-31,TRF,7.33,ONLINE,5812,TRF ATM REF669608,2024-01-31,USD,CHK,C0000023,RET,NE,B021,13036.63,13043.96,2,13043.96
T000000059,A00000040,2024-01-31,WDR,25.24,BRANCH,5541,WDR ACH REF571286,2024-01-31,USD,CHK,C0000023,RET,NE,B021,13036.63,13011.39,2,13018.72
T000000060,A00000040,2024-01-31,TRF,139.39,ONLINE,7011,TRF ATM REF234199,2024-01-31,USD,CHK,C0000023,RET,NE,B021,13036.63,13176.019999999999,2,13158.109999999999
T000000061,A00000042,2024-01-31,PMT,1671.81,ATM,5812,PMT MOBILE REF814104,2024-01-31,USD,CC,C0000024,RET,W,B017,5639.76,3967.9500000000003,6,3967.9500000000003
T000000062,A00000042,2024-01-31,PMT,80.54,ONLINE,0000,PMT ATM REF553127,2024-01-31,USD,CC,C0000024,RET,W,B017,5639.76,5559.22,6,3887.4100000000003
T000000063,A00000043,2024-01-31,DEP,43.19,POS,0000,DEP POS REF327100,2024-01-31,USD,CHK,C0000024,RET,W,B009,1168.46,1211.65,6,1211.65
T000000064,A00000044,2024-01-31,DEP,17.21,ONLINE,0000,DEP POS REF811231,2024-01-31,USD,IRA,C0000024,RET,W,B019,210152.84,210170.05,6,210170.05
T000000065,A00000044,2024-01-31,DEP,2178.42,BRANCH,6011,DEP MOBILE REF199798,2024-01-31,USD,IRA,C0000024,RET,W,B019,210152.84,212331.26,6,212348.47
T000000066,A00000046,2024-01-31,DEP,202.14,ACH,5812,DEP WIRE REF314488,2024-01-31,USD,CHK,C0000026,RET,NW,B009,5288.84,5490.9800000000005,2,5490.9800000000005
T000000067,A00000047,2024-01-31,CHG,9.95,ACH,5912,CHG MOBILE REF162435,2024-01-31,USD,MTG,C0000026,RET,NW,B013,132118.72,132108.77,2,132108.77
T000000068,A00000048,2024-01-31,WDR,116.64,ATM,4900,WDR BRANCH REF997533,2024-01-31,USD,SAV,C0000026,RET,NW,B017,1379.74,1263.1,2,1263.1
T000000069,A00000048,2024-01-31,TRF,-12.28,MOBILE,6011,TRF ACH REF227185,2024-01-31,USD,SAV,C0000026,RET,NW,B017,1379.74,1367.46,2,1250.82
T000000070,A00000049,2024-01-31,PMT,1933.37,ONLINE,5411,PMT ONLINE REF557602,2024-01-31,USD,MTG,C0000027,PREM,SE,B040,542753.55,540820.18,4,540820.18
T000000071,A00000052,2024-01-31,PMT,1022.72,BRANCH,5912,PMT BRANCH REF341358,2024-01-31,USD,AUTO,C0000028,PREM,NW,B018,32871.53,31848.809999999998,5,31848.809999999998
T000000072,A00000052,2024-01-31,CHG,12,ONLINE,6011,CHG BRANCH REF557206,2024-01-31,USD,AUTO,C0000028,PREM,NW,B018,32871.53,32859.53,5,31836.809999999998
T000000073,A00000052,2024-01-31,PMT,530.29,ONLINE,6011,PMT BRANCH REF571883,2024-01-31,USD,AUTO,C0000028,PREM,NW,B018,32871.53,32341.239999999998,5,31306.519999999997
T000000074,A00000053,2024-01-31,INT,58.37,POS,5912,INT WIRE REF838182,2024-01-31,USD,MTG,C0000028,PREM,NW,B011,492287.19,492345.56,5,492345.56
T000000075,A00000053,2024-01-31,CHG,3,BRANCH,5812,CHG POS REF452951,2024-01-31,USD,MTG,C0000028,PREM,NW,B011,492287.19,492284.19,5,492342.56
T000000076,A00000054,2024-01-31,INT,160.55,ACH,7011,INT ACH REF405770,2024-01-31,USD,CC,C0000028,PREM,NW,B047,3865.5,4026.05,5,4026.05
T000000077,A00000054,2024-01-31,PMT,121.15,MOBILE,0000,PMT ACH REF914731,2024-01-31,USD,CC,C0000028,PREM,NW,B047,3865.5,3744.35,5,3904.9
T000000078,A00000055,2024-01-31,PMT,1403.33,ATM,7011,PMT ONLINE REF834881,2024-02-01,USD,CC,C0000029,PB,NW,B022,5691.97,4288.64,4,4288.64
T000000079,A00000055,2024-01-31,CHG,12,WIRE,5411,CHG MOBILE REF594341,2024-01-31,USD,CC,C0000029,PB,NW,B022,5691.97,5679.97,4,4276.64
T000000080,A00000057,2024-01-31,PMT,1590.42,POS,5912,PMT MOBILE REF193171,2024-01-31,USD,CC,C0000030,RET,NE,B048,6377.04,4786.62,2,4786.62
T000000081,A00000058,2024-01-31,INT,223.19,BRANCH,5912,INT POS REF649758,2024-01-31,USD,CC,C0000031,COMM,W,B022,4454.81,4678,5,4678
T000000082,A00000058,2024-01-31,CHG,3,BRANCH,6011,CHG ONLINE REF779766,2024-01-31,USD,CC,C0000031,COMM,W,B022,4454.81,4451.81,5,4675
T000000083,A00000059,2024-01-31,CHG,9.95,POS,5812,CHG ONLINE REF110586,2024-01-31,USD,HELC,C0000031,COMM,W,B018,40979.73,40969.780000000006,5,40969.780000000006
T000000084,A00000060,2024-01-31,DEP,94.4,BRANCH,4900,DEP BRANCH REF565281,2024-01-31,USD,CHK,C0000032,CORP,NW,B034,2118.96,2213.36,1,2213.36
T000000085,A00000060,2024-01-31,DEP,93,WIRE,5541,DEP ACH REF453961,2024-01-31,USD,CHK,C0000032,CORP,NW,B034,2118.96,2211.96,1,2306.36
T000000086,A00000061,2024-01-31,CHG,25,BRANCH,4900,CHG WIRE REF437469,2024-02-01,USD,CC,C0000033,PREM,SW,B023,1926.06,1901.06,2,1901.06
T000000087,A00000063,2024-01-31,PMT,323.15,POS,5912,PMT ACH REF796727,2024-01-31,USD,MTG,C0000034,RET,SE,B024,502286.75,501963.6,4,501963.6
T000000088,A00000063,2024-01-31,ADJ,-307.78,ONLINE,6011,ADJ POS REF326615,2024-01-31,USD,MTG,C0000034,RET,SE,B024,502286.75,501978.97,4,501655.81999999995
T000000089,A00000063,2024-01-31,INT,162.9,ACH,5411,INT ATM REF809155,2024-01-31,USD,MTG,C0000034,RET,SE,B024,502286.75,502449.65,4,501818.72
T000000090,A00000064,2024-01-31,WDR,146.74,BRANCH,5812,WDR ATM REF547937,2024-01-31,USD,IRA,C0000034,RET,SE,B015,29272.95,29126.21,4,29126.21
T000000091,A00000064,2024-01-31,REV,3.23,BRANCH,5912,REV BRANCH REF502940,2024-01-31,USD,IRA,C0000034,RET,SE,B015,29272.95,29276.18,4,29129.44
T000000092,A00000064,2024-01-31,DEP,136.1,BRANCH,5912,DEP POS REF771915,2024-01-31,USD,IRA,C0000034,RET,SE,B015,29272.95,29409.05,4,29265.539999999997
T000000093,A00000064,2024-01-31,WDR,47.93,MOBILE,5812,WDR ONLINE REF806389,2024-01-31,USD,IRA,C0000034,RET,SE,B015,29272.95,29225.02,4,29217.609999999997
T000000094,A00000064,2024-01-31,REV,35.98,BRANCH,5411,REV ONLINE REF829566,2024-01-31,USD,IRA,C0000034,RET,SE,B015,29272.95,29308.93,4,29253.589999999997
T000000095,A00000064,2024-01-31,DEP,107.83,ATM,5541,DEP ATM REF853536,2024-01-31,USD,IRA,C0000034,RET,SE,B015,29272.95,29380.780000000002,4,29361.42
T000000096,A00000065,2024-01-31,DEP,11.13,BRANCH,5541,DEP MOBILE REF243498,2024-01-31,USD,CHK,C0000035,RET,SE,B003,2758.31,2769.44,4,2769.44
T000000097,A00000066,2024-01-31,PMT,2882.15,ACH,5541,PMT ACH REF240779,2024-01-31,USD,MTG,C0000036,RET,SE,B046,798090.77,795208.62,6,795208.62
T000000098,A00000067,2024-01-31,PMT,2022.87,ONLINE,4900,PMT ONLINE REF571850,2024-01-31,USD,AUTO,C0000036,RET,SE,B019,40771.05,38748.18,6,38748.18
T000000099,A00000067,2024-01-31,PMT,2313.22,WIRE,5541,PMT WIRE REF358966,2024-01-31,USD,AUTO,C0000036,RET,SE,B019,40771.05,38457.83,6,36434.96
T000000100,A00000068,2024-01-31,DEP,77.1,ATM,0000,DEP BRANCH REF901542,2024-01-31,USD,CHK,C0000036,RET,SE,B015,14053.53,14130.630000000001,6,14130.630000000001
T000000101,A00000069,2024-01-31,WDR,31.58,POS,5541,WDR ONLINE REF438788,2024-01-31,USD,SAV,C0000037,SMB,NE,B027,5664.88,5633.3,4,5633.3
T000000102,A00000070,2024-01-31,INT,124.62,WIRE,5812,INT MOBILE REF762024,2024-01-31,USD,CC,C0000038,SMB,NW,B038,6153.71,6278.33,4,6278.33
T000000103,A00000071,2024-01-31,INT,197.73,WIRE,6011,INT BRANCH REF329006,2024-01-31,USD,AUTO,C0000039,RET,SW,B047,30010.29,30208.02,4,30208.02
T000000104,A00000071,2024-01-31,REF,1763.27,BRANCH,5812,REF BRANCH REF974172,2024-01-31,USD,AUTO,C0000039,RET,SW,B047,30010.29,31773.56,4,31971.29
T000000105,A00000071,2024-01-31,CHG,12,ONLINE,4900,CHG POS REF607973,2024-01-31,USD,AUTO,C0000039,RET,SW,B047,30010.29,29998.29,4,31959.29
T000000106,A00000071,2024-01-31,CHG,12,WIRE,4900,CHG POS REF894825,2024-02-01,USD,AUTO,C0000039,RET,SW,B047,30010.29,29998.29,4,31947.29
T000000107,A00000071,2024-01-31,PMT,1692.21,ACH,5411,PMT ONLINE REF342868,2024-01-31,USD,AUTO,C0000039,RET,SW,B047,30010.29,28318.08,4,30255.08
T000000108,A00000071,2024-01-31,INT,71.75,ONLINE,6011,INT POS REF762292,2024-01-31,USD,AUTO,C0000039,RET,SW,B047,30010.29,30082.04,4,30326.83
T000000109,A00000075,2024-01-31,WDR,130.18,ONLINE,5541,WDR BRANCH REF706912,2024-01-31,USD,CD,C0000041,RET,SE,B002,42916.44,42786.26,2,42786.26
T000000110,A00000076,2024-01-31,CHG,25,POS,0000,CHG BRANCH REF275542,2024-02-01,USD,AUTO,C0000042,RET,NW,B030,44212.93,44187.93,3,44187.93
T000000111,A00000076,2024-01-31,REF,2655.95,POS,4900,REF BRANCH REF887904,2024-01-31,USD,AUTO,C0000042,RET,NW,B030,44212.93,46868.88,3,46843.88
T000000112,A00000076,2024-01-31,CHG,35,BRANCH,5912,CHG MOBILE REF239931,2024-01-31,USD,AUTO,C0000042,RET,NW,B030,44212.93,44177.93,3,46808.88
T000000113,A00000076,2024-01-31,PMT,1806.6,POS,5541,PMT POS REF686671,2024-01-31,USD,AUTO,C0000042,RET,NW,B030,44212.93,42406.33,3,45002.28
T000000114,A00000076,2024-01-31,FEE,3,POS,5541,FEE WIRE REF245363,2024-01-31,USD,AUTO,C0000042,RET,NW,B030,44212.93,44209.93,3,44999.28
T000000115,A00000076,2024-01-31,CHG,12,BRANCH,7011,CHG POS REF911121,2024-01-31,USD,AUTO,C0000042,RET,NW,B030,44212.93,44200.93,3,44987.28
T000000116,A00000077,2024-01-31,TRF,105.75,POS,5541,TRF ATM REF891617,2024-01-31,USD,IRA,C0000042,RET,NW,B043,79624.67,79730.42,3,79730.42
T000000117,A00000080,2024-01-31,DEP,12.1,ONLINE,5411,DEP MOBILE REF628706,2024-01-31,USD,SAV,C0000044,RET,NW,B025,3283.33,3295.43,4,3295.43
T000000118,A00000081,2024-01-31,DEP,152.9,BRANCH,7011,DEP ONLINE REF915331,2024-01-31,USD,SAV,C0000045,SMB,W,B024,2771.61,2924.51,1,2924.51
T000000119,A00000082,2024-01-31,DEP,292.33,ACH,6011,DEP ACH REF998747,2024-02-01,USD,CHK,C0000045,SMB,W,B018,941.93,1234.26,1,1234.26
T000000120,A00000084,2024-01-31,REF,2089.4,ATM,5541,REF POS REF316116,2024-02-01,USD,AUTO,C0000045,SMB,W,B004,28981.25,31070.65,1,31070.65
T000000121,A00000084,2024-01-31,CHG,35,MOBILE,7011,CHG BRANCH REF438947,2024-02-01,USD,AUTO,C0000045,SMB,W,B004,28981.25,28946.25,1,31035.65
T000000122,A00000084,2024-01-31,CHG,9.95,ACH,7011,CHG BRANCH REF337230,2024-01-31,USD,AUTO,C0000045,SMB,W,B004,28981.25,28971.3,1,31025.7
T000000123,A00000085,2024-01-31,FEE,3,BRANCH,5541,FEE POS REF528793,2024-01-31,USD,HELC,C0000046,RET,SW,B023,135572.14,135569.14,2,135569.14
T000000124,A00000085,2024-01-31,CHG,25,ATM,5812,CHG WIRE REF107082,2024-01-31,USD,HELC,C0000046,RET,SW,B023,135572.14,135547.14,2,135544.14
T000000125,A00000087,2024-01-31,DEP,36.69,ONLINE,6011,DEP BRANCH REF882760,2024-02-01,USD,CD,C0000048,PREM,W,B031,460447.64,460484.33,4,460484.33
T000000126,A00000089,2024-01-31,CHG,3,WIRE,5411,CHG ONLINE REF294202,2024-02-01,USD,AUTO,C0000049,RET,NE,B044,6199.63,6196.63,2,6196.63
T000000127,A00000089,2024-01-31,CHG,35,MOBILE,4900,CHG MOBILE REF605564,2024-01-31,USD,AUTO,C0000049,RET,NE,B044,6199.63,6164.63,2,6161.63
T000000128,A00000089,2024-01-31,CHG,35,ATM,5912,CHG POS REF779492,2024-01-31,USD,AUTO,C0000049,RET,NE,B044,6199.63,6164.63,2,6126.63
T000000129,A00000089,2024-01-31,CHG,25,POS,5812,CHG BRANCH REF275083,2024-01-31,USD,AUTO,C0000049,RET,NE,B044,6199.63,6174.63,2,6101.63
T000000130,A00000089,2024-01-31,CHG,3,POS,5912,CHG BRANCH REF262966,2024-01-31,USD,AUTO,C0000049,RET,NE,B044,6199.63,6196.63,2,6098.63
T000000131,A00000089,2024-01-31,CHG,3,ACH,7011,CHG BRANCH REF310955,2024-01-31,USD,AUTO,C0000049,RET,NE,B044,6199.63,6196.63,2,6095.63
T000000132,A00000092,2024-01-31,PMT,536.68,WIRE,5912,PMT BRANCH REF405262,2024-01-31,USD,AUTO,C0000050,RET,SE,B022,28524.01,27987.329999999998,5,27987.329999999998
T000000133,A00000092,2024-01-31,FEE,9.95,ACH,0000,FEE MOBILE REF169223,2024-01-31,USD,AUTO,C0000050,RET,SE,B022,28524.01,28514.059999999998,5,27977.379999999997
T000000134,A00000092,2024-01-31,FEE,9.95,ATM,7011,FEE BRANCH REF316593,2024-01-31,USD,AUTO,C0000050,RET,SE,B022,28524.01,28514.059999999998,5,27967.429999999997
T000000135,A00000093,2024-01-31,WDR,2.01,POS,5411,WDR ATM REF179343,2024-01-31,USD,SAV,C0000051,PB,NE,B038,-247.24,-249.25,3,-249.25
T000000136,A00000093,2024-01-31,DEP,161.27,ATM,7011,DEP WIRE REF734819,2024-01-31,USD,SAV,C0000051,PB,NE,B038,-247.24,-85.97,3,-87.97999999999999
T000000137,A00000095,2024-01-31,WDR,6864.74,MOBILE,6011,FEE POS REF449118,2024-01-31,USD,CC,C0000052,PB,MW,B026,2259.69,-4605.049999999999,1,-4605.049999999999
T000000138,A00000099,2024-01-31,FEE,3,BRANCH,7011,FEE WIRE REF166460,2024-02-01,USD,CC,C0000053,PB,NE,B007,803.24,800.24,,800.24
T000000139,A00000101,2024-01-31,WDR,367.85,POS,4900,WDR ACH REF724522,2024-02-01,USD,MMA,C0000054,RET,SE,B008,11110.98,10743.13,3,10743.13
T000000140,A00000101,2024-01-31,TRF,194.84,ACH,5541,TRF BRANCH REF230606,2024-02-01,USD,MMA,C0000054,RET,SE,B008,11110.98,11305.82,3,10937.97
T000000141,A00000101,2024-01-31,DEP,76.68,ONLINE,7011,DEP WIRE REF934387,2024-01-31,USD,MMA,C0000054,RET,SE,B008,11110.98,11187.66,3,11014.65
T000000142,A00000103,2024-01-31,CHG,9.95,POS,0000,CHG POS REF289990,2024-01-31,USD,HELC,C0000055,PREM,MW,B018,7364.43,7354.4800000000005,2,7354.4800000000005
T000000143,A00000103,2024-01-31,FEE,35,BRANCH,7011,FEE ONLINE REF644732,2024-02-01,USD,HELC,C0000055,PREM,MW,B018,7364.43,7329.43,2,7319.4800000000005
T000000144,A00000104,2024-01-31,PMT,992.49,POS,6011,PMT BRANCH REF383841,2024-02-01,USD,CC,C0000056,PREM,SW,B006,2832.19,1839.7,1,1839.7
T000000145,A00000104,2024-01-31,PMT,893.5,POS,5411,PMT POS REF135414,2024-01-31,USD,CC,C0000056,PREM,SW,B006,2832.19,1938.69,1,946.2
T000000146,A00000107,2024-01-31,DEP,9.19,BRANCH,0000,DEP ATM REF859062,2024-02-01,USD,SAV,C0000058,PREM,W,B012,15546.84,15556.03,1,15556.03
T000000147,A00000107,2024-01-31,WDR,82.13,POS,6011,WDR MOBILE REF953639,2024-02-01,USD,SAV,C0000058,PREM,W,B012,15546.84,15464.710000000001,1,15473.900000000001
T000000148,A00000110,2024-01-31,FEE,12,WIRE,5812,FEE WIRE REF764017,2024-01-31,USD,CC,C0000059,PB,SE,B014,5025.19,5013.19,,5013.19
T000000149,A00000110,2024-01-31,CHG,12,BRANCH,5912,CHG ACH REF435198,2024-01-31,USD,CC,C0000059,PB,SE,B014,5025.19,5013.19,,5001.19
T000000150,A00000111,2024-01-31,PMT,61.65,ONLINE,4900,PMT ATM REF309246,2024-01-31,USD,CC,C0000059,PB,SE,B034,6877.08,6815.43,,6815.43
T000000151,A00000112,2024-01-31,PMT,879.16,POS,7011,PMT WIRE REF165939,2024-01-31,USD,CC,C0000060,PREM,SW,B039,707.96,-171.19999999999993,6,-171.19999999999993
T000000152,A00000113,2024-01-31,WDR,1579.25,WIRE,4900,WDR BRANCH REF166994,2024-01-31,USD,CHK,C0000061,RET,SW,B009,12229.89,10650.64,1,10650.64
